,B cell (Plasmocyte),Endothelial cell,Endothelial cell (APC),Endothelial cell (endothelial to mesenchymal transition),Enterocyte progenitor,Fetal endocrine cell,Macrophage,Pancreas exocrine cell,Stromal cell
AIF1,0.0,0.0,0.0,0.0,0.0,0.0,1.9081383,0.0,0.0
ENSG00000211892,1.6455652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA-E,0.0,0.0,2.8124762,0.0,0.0,0.0,0.0,0.0,0.0
RPL4,0.0,0.0,2.7581856,0.0,0.0,0.0,0.0,2.1624413,2.373705
TSC22D3,1.0408161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPS8,3.1853004,3.099804,3.3384736,2.8453426,3.1387522,0.0,2.8622952,3.003101,2.762336
TXNIP,0.0,2.7600608,1.2460434,0.0,0.0,0.0,0.0,0.0,0.0
PSAP,0.0,0.0,1.3770176,0.0,0.0,0.0,3.1886563,0.0,0.0
TNFRSF17,2.672453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UQCRQ,2.3580756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1116865
CST3,0.0,0.0,0.0,3.5027342,0.0,0.0,2.6345193,0.0,3.6458006
COX6C,0.0,0.0,0.0,3.2714128,0.0,0.0,0.0,0.0,0.0
ARPC3,2.8949287,0.0,0.0,0.0,0.0,0.0,2.8622952,0.0,0.0
RPL24,3.1853004,1.2961677,1.2460434,2.885944,3.0618289,2.7026305,2.1482704,2.833967,3.1261678
TMBIM6,3.008175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.361434
FKBP2,0.0,0.0,0.0,0.0,0.0,2.802571,0.0,0.0,0.0
SEC62,2.776341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRSF7,1.0408161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL15,2.68594,3.6427255,3.1212335,3.5507934,3.6430793,3.0666957,3.1720836,3.4063349,3.3125494
SPCS1,1.1768202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOD,0.0,0.0,0.0,4.5683975,0.0,0.0,0.0,0.0,5.352605
RPS7,2.9608827,2.7584517,0.0,2.615516,2.765818,0.0,2.3942668,2.4158137,2.5742302
S100A10,0.0,0.0,3.0714538,2.8392575,0.0,0.0,2.9436815,0.0,0.0
HES1,0.0,0.0,2.6230612,0.0,0.0,0.0,0.0,0.0,0.0
SPP1,0.0,0.0,0.0,0.0,0.0,0.0,5.3747044,0.0,0.0
SERPINE1,0.0,0.0,0.0,2.603848,0.0,0.0,0.0,0.0,0.0
EAF2,1.1768202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT2A,0.0,0.0,0.0,4.4007907,0.0,0.0,0.0,2.542088,5.649417
RPN2,1.1768202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIM,0.0,0.0,2.7898755,3.2714128,0.0,0.0,2.9748845,0.0,2.8545496
