,Endothelia,Fibroblast,Lymphocyte,MP & DC,Mural cell,Neutrophil
ENSG00000119048,0.0,1.1303937,0.0,1.0723555,0.0,0.0
ENSG00000113648,0.0,0.0,0.0,1.0641706,0.0,0.0
ENSG00000120708,0.0,0.0,0.0,0.77089965,0.0,0.0
ENSG00000120738,0.0,0.0,0.0,0.64654315,0.0,0.0
ENSG00000120705,0.0,0.0,0.0,0.49360624,0.0,0.0
ENSG00000120727,0.0,0.0,0.0,0.65705824,0.0,0.0
ENSG00000170458,0.0,0.0,0.0,1.1036375,0.0,0.0
ENSG00000131507,0.0,1.1835759,0.0,0.51564157,0.0,0.0
ENSG00000249669,0.0,0.0,0.0,0.0,1.6052909,0.0
ENSG00000113712,0.0,0.8354381,0.0,1.118744,0.0,0.0
ENSG00000182578,0.0,0.0,0.0,1.0819939,0.0,0.0
ENSG00000113721,0.0,0.0,0.0,0.0,1.3634131,0.0
ENSG00000019582,2.9520984,0.0,0.0,3.4924192,0.0,0.0
ENSG00000164587,2.7865267,2.7548006,3.6753266,3.2898316,2.795188,0.0
ENSG00000113140,0.0,1.8814908,0.0,0.0,2.3745885,0.0
ENSG00000164330,0.0,0.7601948,0.0,0.0,0.0,0.0
ENSG00000043462,0.0,0.0,0.0,0.4897105,0.0,0.0
ENSG00000181163,0.0,1.2440813,1.9302186,1.4403284,1.4044144,0.0
ENSG00000120129,1.797827,0.0,0.0,2.4763355,0.0,2.4579778
ENSG00000113732,0.0,1.2778727,1.2681521,1.2350005,0.0,0.0
ENSG00000146066,0.0,0.0,0.0,0.9441387,0.0,0.0
ENSG00000169230,0.0,0.0,0.0,0.85771763,0.0,0.0
