,B cell,Cholangiocyte,Erythroid,Hepatocyte,Inflammatory Macs,LSEC 1,"LSEC 2,3",NK-like,Non-inflammatory Macs,Plasma,Portal endothelial,Stellate,abT cell,gdT cell 1,gdT cell 2
FMO3,0.0,0.0,0.0,0.95451665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRRC2C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3954774,0.0,0.0,0.3562454
PRDX6,0.0,0.62578315,2.033302,2.0420368,0.0,0.5989865,0.0,0.0,0.0,0.37489092,0.45530492,0.5513561,0.0,0.0,0.6460085
SERPINC1,0.0,0.0,0.0,3.3120928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QSOX1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8379471,0.0,0.0,0.0
GLUL,0.0,0.28654966,2.5203907,0.0,1.1450088,0.0,0.0,0.0,2.417821,0.0,0.43767875,0.54393256,0.0,0.0,0.0
NPL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54857326,0.0,0.0,0.0,0.0,0.0,0.0
ARPC5,0.0,0.16787973,0.0,0.0,1.1864105,0.0,0.0,0.0,1.439898,0.0,0.0,0.6500474,0.0,0.0,0.43375227
RGL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4387427,0.0,0.0,0.0,0.0,0.0,0.0
PRG4,0.0,0.0,0.0,0.7463691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGS2,0.0,0.0,0.0,0.0,0.6435269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFH,0.0,0.0,0.0,2.1366706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.457271,0.0,0.0,0.0
PTPRC,0.0,0.0,0.0,0.0,0.7221159,0.0,0.0,1.1904325,0.51645184,0.0,0.0,0.0,1.2889206,1.1674134,0.0
CSRP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8340007,0.0,0.0,0.0
ELF3,0.0,0.85133684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIPOR1,0.0,0.0,3.4013684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTG2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13139354,0.0,0.0,0.0,0.0,0.0
SNRPE,0.0,0.3491585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54346085,0.0,0.0,1.0416243
TMCC2,0.0,0.0,3.741319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NUCKS1,0.0,0.72098255,0.0,1.5201583,0.0,0.69706583,0.0,0.0,0.0,0.0,0.71416104,0.2674064,0.0,0.0,1.0747149
PIGR,0.0,0.7793998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C4BPB,0.0,0.0,0.0,1.2972219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C4BPA,0.0,0.0,0.0,1.9845359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSD11B1,0.0,0.0,0.0,1.3273153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENF,0.0,0.24344587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5885035,0.0,0.0,0.0
SRP9,0.0,0.3884881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2674064,0.0,0.0,0.5949871
EPHX1,0.0,0.0,0.0,1.6038277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H3-3A,2.3296182,1.9077446,5.1077414,1.8030859,3.1535957,1.7890866,1.8042527,2.4269185,2.5010886,2.4621596,1.9017041,1.7601898,2.1250937,2.6519656,2.7956629
ARF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5014316,0.0,0.0,0.74768364
GUK1,0.0,0.27315342,5.6382976,0.737483,0.48208296,0.8450556,0.0,0.8295194,0.45773688,0.83553827,0.8827498,1.0663689,1.0165687,0.0,0.87918377
AGT,0.0,1.739508,0.0,2.9532056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOMM20,0.0,0.33758494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
