,cardiac muscle cell,endothelial cell,fibroblast,leukocyte,mesothelial cell of epicardium,neuron,smooth muscle cell
DCAF8,0.8551428734926564,0.0,0.8333333333333334,0.0,0.0,0.0,0.0
COPA,0.6666666666666666,0.0,0.8124893608717766,0.6980531780564844,0.0,0.0,0.0
CD84,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ARHGAP30,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NDUFS2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MPZ,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SDHC,1.0,0.0,0.0,0.0,0.0,0.0,0.0
FCGR2A,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ATF6,0.6666666666666666,0.724372453706581,0.0,0.838574378626736,0.0,0.0,0.0
NOS1AP,1.0,0.0,0.0,0.0,0.0,0.0,0.0
DDR2,0.5,0.0,0.7200621582144932,0.0,0.6725253743868845,0.0,0.5940038596963174
RGS5,0.0,0.0,0.0,0.0,0.9231732419251744,0.0,0.8333333333333334
PBX1,0.28995058861941186,0.20471098593998827,0.3633582356412568,0.0,0.32692802984657454,0.16666666666666666,0.275625028586945
LRRC52-AS1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MGST3,0.6666666666666666,0.0,0.0,0.0,0.66787042218798,0.0,0.669116866403936
STYXL2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
POU2F1,0.0,0.028606581324361818,0.14351016919815215,0.017260180472858582,0.15467294156106046,0.05245179949242751,0.23322781269102336
RCSD1,0.5,0.0,0.0,0.7851598383515577,0.5469118846338422,0.0,0.5918928565013718
MPZL1,0.8333333333333334,0.0,0.9417391215455032,0.0,0.0,0.0,0.0
