,Antigen presenting cell (RPS high),B cell,B cell (Plasmocyte),Dendritic cell,Endothelial cell,Endothelial cell (APC),Endothelial cell (endothelial to mesenchymal transition),Enterocyte progenitor,Epithelial cell,Fetal epithelial progenitor,Intercalated cell,Loop of Henle,Macrophage,Mast cell,Monocyte,Neutrophil,Proximal tubule progenitor,Sinusoidal endothelial cell,Smooth muscle cell,Stromal cell,T cell,Ureteric bud cell
ENSG00000174444,0.0,2.6460972,0.0,2.3599129,0.0,0.0,0.0,2.160399,1.8047942,0.0,2.0691414,0.0,2.0509222,0.0,0.0,0.0,0.0,2.3348935,0.0,2.9618535,2.5456004,0.0
ENSG00000143878,2.4162781,0.0,0.0,0.0,0.0,2.2335923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000157514,0.0,0.0,2.1310735,0.0,0.0,0.0,1.1768202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000230989,2.4162781,0.0,0.0,0.0,0.0,0.0,0.0,2.8545496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142937,3.0637722,3.0124054,2.010108,2.839765,2.7181046,2.5521228,0.0,0.0,2.2854414,0.0,2.5992243,2.262373,2.5434372,2.790763,2.7322755,2.4389331,3.1864293,2.7403724,0.0,2.7621367,2.9713638,0.0
ENSG00000265972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.366233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000167468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.160399,1.4976162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000160213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9934961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000130513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8180722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000197746,3.7453146,2.212366,0.0,2.7985125,0.0,0.0,1.1194087,0.0,1.8930161,0.0,1.5874193,1.6913382,3.3210855,0.0,3.2874012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000235162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2934127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000164405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4446328,0.0,2.7032104,1.8026757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000101439,2.4162781,0.0,0.0,3.4301262,0.0,0.0,2.460034,0.0,0.0,0.0,0.0,0.0,2.5327032,0.0,3.0163913,0.0,0.0,0.0,0.0,3.0571237,0.0,0.0
ENSG00000164919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7941787,2.33658,0.0,2.9913492,1.9091169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
