,B mem,B mem exhausted,Basal 1,Basal 1 KHDRBS2+,Basal 2,Ciliated 1,Ciliated 2,Club,Cycling basal,Cycling hillock,Deuterosomal,Duct,Goblet 1,Goblet 2 BPIFA2+,Goblet 2 PLAU+,Goblet 2 inflammatory,Hillock,Ionocyte,LC,MAIT,Mac,Mast,Mono IL6+,Secretory,Secretory GALNT4+,Squamous,T CD8 mem 1,T CD8 mem 2,T naive,Transit epi 1,Transit epi 2,pDC
ENSG00000085662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8287169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000187134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.522329,0.0,0.66605324,0.0,1.3474772,0.91335607,0.0,1.2212167,1.1625545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000151632,0.0,0.0,0.0,0.0,1.5833225,0.0,0.0,1.3184993,0.66954947,1.8261849,1.137544,1.22053,0.9610237,1.5853362,1.8677676,1.8604798,2.3639765,0.0,0.0,0.0,0.0,0.0,0.0,1.7013222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000196139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7397315,0.0,0.0,0.0,0.0,0.51318574,0.66848385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000233968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8513751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000258752,0.0,0.0,0.0,0.0,0.0,2.1259067,1.3220794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000170017,0.0,0.0,0.0,1.5796518,0.57045746,1.5357975,1.990412,1.3284528,0.54544234,0.14443694,1.5738939,1.1001728,1.5088814,1.5673076,1.4098543,1.6320682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2276498,2.2050736,0.0,0.0,0.0,0.0,1.821425,1.9030752,0.0
ENSG00000165092,0.0,0.0,1.5028194,1.7512449,1.9686604,2.5676882,1.5595995,1.756789,1.7326176,1.7424858,2.568344,2.228925,2.4474063,2.9289782,2.6668801,3.0287178,2.1026945,0.98976827,0.0,0.0,0.0,1.8135419,0.0,2.7384665,1.781164,0.025666282,0.0,0.0,0.0,2.620288,2.6009521,0.0
ENSG00000111275,0.0,0.0,0.0,0.0,1.3062764,0.0,0.0,1.1059632,1.1010673,0.0,0.37656522,0.8081399,0.6907643,0.5939232,0.72240233,1.0900215,0.0,0.0,1.6833843,0.0,0.0,0.0,0.0,1.1912258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000108602,0.0,0.0,2.8912709,2.1528018,2.0659194,1.9983475,1.6591991,0.084043406,1.7364144,2.1908846,2.085025,1.9565387,1.3932989,2.4302566,2.622648,3.3847418,2.3111575,0.0,0.0,0.0,0.0,0.0,0.0,2.4891317,1.9791236,0.0,0.0,0.0,0.0,2.8022048,2.8591745,0.0
ENSG00000072210,0.0,0.0,1.6155467,1.867483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.423084,0.0,0.0,0.0,0.73489696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000006534,0.0,0.0,0.0,0.0,0.0,1.6277602,0.9312285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6476734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000164904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55114913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000149925,0.0,0.0,1.6712519,0.0,1.5522178,0.0,0.0,1.3446217,1.4132004,1.8843576,1.6985346,1.4627969,1.1031158,1.1955601,1.6904595,1.8923478,1.718719,1.5349822,1.5364125,1.4765177,0.0,0.0,1.5378082,1.3192241,0.0,2.4618764,0.0,0.0,0.0,1.6164206,0.0,0.0
ENSG00000125652,0.0,0.0,0.0,0.0,0.867197,0.0,0.0,1.309309,0.16641948,0.750292,0.94279385,0.93388355,1.0284536,0.8316881,0.7208347,0.9948225,0.8791273,0.0,0.0,0.0,0.0,0.0,0.0,0.9095033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000161905,0.0,0.0,0.0,1.7111574,1.7740606,2.0982144,1.8943628,0.5609277,2.0349207,2.2187374,1.4103918,0.0,1.3626187,1.6504498,0.8702339,1.6852409,1.9785038,0.0,0.0,0.0,0.0,0.0,0.0,2.0378053,1.679145,0.0,0.0,0.0,0.0,1.9227414,2.1978667,0.0
ENSG00000012779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6373941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
