,Antigen presenting cell (RPS high),B cell,B cell (Plasmocyte),Dendritic cell,Endothelial cell,Endothelial cell (APC),Enterocyte progenitor,Erythroid progenitor cell (RP high),Goblet cell,Macrophage,Mast cell,Monocyte,Neutrophil,Sinusoidal endothelial cell,Smooth muscle cell,T cell
SERPINA1,0.0,0.0,0.0,0.0,0.0,0.0,2.9757967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPS2,0.0,0.0,0.0,0.0,0.0,0.0,1.4542974,2.6319084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD59,0.0,0.0,0.0,0.0,0.0,0.0,1.4542974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFITM3,3.1493726,0.0,0.0,0.0,4.0545154,3.7846212,3.295239,0.0,2.1065965,2.6941612,3.5482452,3.1429856,0.0,3.1953697,0.0,0.0
ACTB,3.6828535,2.6026897,0.0,3.4342294,0.0,2.7039013,0.0,2.607851,2.1065965,3.0618289,3.9382896,3.5361168,3.6145287,3.0256717,3.2437847,3.28122
SRP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1065965,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRR13,2.4407964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD63,0.0,0.0,0.0,0.0,0.0,0.0,1.4542974,0.0,3.0053785,3.2533014,2.8240042,0.0,0.0,0.0,0.0,0.0
TPSB2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6246977,0.0,0.0,0.0,0.0,0.0
TIMP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3220898,2.8638523,0.0,0.0,0.0,0.0
HLA-DRB1,2.8971977,3.1515117,0.0,4.4503407,0.0,0.0,0.0,0.0,0.0,3.786538,0.0,3.0090346,0.0,0.0,0.0,0.0
DNAJB1,0.0,0.0,0.0,0.0,0.0,2.837079,1.4542974,0.0,2.9201388,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARL6IP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8079755,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPS12,3.3436532,3.3151019,2.6993206,3.3024082,3.2923765,3.064896,4.1674604,4.094041,3.673454,2.6399403,3.7299805,3.083438,2.6973882,3.1579585,3.190889,3.4021425
PABPC1,0.0,0.0,0.0,2.4427147,0.0,0.0,0.0,2.6352608,0.0,0.0,0.0,2.6915927,0.0,0.0,0.0,0.0
CD69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2967399,0.0,0.0,0.0,0.0,3.009955
KRT8,0.0,0.0,0.0,0.0,0.0,0.0,2.9757967,0.0,3.0774934,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSPA1A,0.0,0.0,0.0,0.0,0.0,2.9669824,0.0,0.0,2.7679136,2.7309332,0.0,0.0,0.0,0.0,0.0,0.0
SKP1,0.0,0.0,0.0,0.0,0.0,0.0,2.9085948,2.070736,3.4291608,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANXA2,2.2954166,0.0,0.0,0.0,3.2204132,0.0,1.6010664,0.0,3.5859525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
