,author_cell_type,silhouette_score
1226,MNP-c/dendritic cell,0.36603964563217567
1227,CD4 T cell,-0.13922277062950608
1228,Proximal tubule,0.0732268664275227
1229,Proximal tubule,-0.010995491560902404
1231,Proximal tubule,0.016848925065877637
1232,Ascending vasa recta endothelium,0.06973581001295065
1237,Principal cell,0.1933358699902158
1238,Proximal tubule,0.01726258439990891
1239,NK cell,0.0004977753506220575
1242,Proximal tubule,0.10981419115123162
1243,Proximal tubule,0.07212621874576307
1246,Proximal tubule,0.10507876671008692
1247,Plasmacytoid dendritic cell,0.8431883856426324
1248,Proximal tubule,0.03866352714761314
1249,Proximal tubule,0.020706958129772482
1250,B cell,0.4417733608812633
1251,Proximal tubule,0.0856244085571968
1254,Proximal tubule,-0.033384822319250926
1259,NKT cell,0.12078424327189366
1261,Proximal tubule,0.11129753254181443
1263,NKT cell,-0.19202217385652723
1264,Proximal tubule,0.0016647413765769393
1265,Type A intercalated cell,0.3335924429909814
1267,Peritubular capillary endothelium 1,0.2928115958485993
1268,Proximal tubule,0.12050595784022879
1272,Proximal tubule,-0.3327365751003557
1273,CD4 T cell,-0.2549993057317539
1275,Proximal tubule,-0.001038141781617818
1277,NK cell,0.2864115131643636
1279,Proximal tubule,0.013087999983624796
1280,Ascending vasa recta endothelium,-0.4047872680252239
1281,CD4 T cell,0.05983953230202809
1282,CD4 T cell,0.08315854126145046
1283,Proximal tubule,0.13526342913287148
1284,CD4 T cell,-0.09120737641642224
1285,Proximal tubule,0.04951134250480119
1287,Proximal tubule,0.10780598195881562
1290,Proximal tubule,-0.07800687468726118
1292,CD4 T cell,-0.07189735873548253
1294,Proximal tubule,-0.1855624322732047
1295,CD4 T cell,-0.1997118456095643
1297,Peritubular capillary endothelium 1,0.21293442803978874
1298,MNP-b/non-classical monocyte derived,0.3290599806338009
1299,CD4 T cell,-0.06275766162493646
1301,Proximal tubule,-0.03442959356535488
1302,NK cell,0.31061601795941435
1303,Proximal tubule,0.10193817053961388
1304,Ascending vasa recta endothelium,-0.3523629111404143
1306,B cell,0.4970894632332582
1307,Proximal tubule,0.007246525475073888
1308,Peritubular capillary endothelium 1,-0.1999918996837237
1309,CD8 T cell,0.05825216147198073
1310,Proximal tubule,0.07715508603994536
1313,Proximal tubule,0.13235222770693508
1315,NK cell,-0.21072341833465313
1316,Proliferating Proximal Tubule,-0.09431210873633723
1320,Proximal tubule,0.07829529431921958
1321,Proximal tubule,0.06764856334499954
1322,CD4 T cell,-0.05684809749294663
1324,Proximal tubule,-0.08208178965608
1329,Proximal tubule,0.0549396948924911
1340,Proximal tubule,0.069926581750741
1346,NKT cell,-0.044309429227521784
1349,Proximal tubule,0.12254228936787337
1351,Proximal tubule,-0.07966975152114764
1352,Proximal tubule,0.11916385717777972
1354,Proximal tubule,-0.0027694235675333203
1355,Proximal tubule,0.11756268062645264
1357,Proximal tubule,0.08801943827263774
1361,Proximal tubule,0.01686856141606802
1362,NKT cell,0.13989987665253717
1364,CD4 T cell,0.0233574292463808
1367,B cell,0.7631612756153829
1368,Proximal tubule,-0.5549241550755659
1373,Proximal tubule,0.09882710318328002
1374,Proximal tubule,0.12209654124122044
1378,CD4 T cell,-0.08298944412268526
1379,Myofibroblast,-0.4058212966049385
1380,Proximal tubule,0.10770950599510767
1381,Proximal tubule,0.12708361975483728
1382,Glomerular endothelium,0.7467076275476947
1383,Glomerular endothelium,0.7726457038076452
1384,CD8 T cell,0.04146645357377199
1385,Proximal tubule,-0.08193611665988096
1387,Proximal tubule,0.11868321499998102
1391,Proximal tubule,0.0981494434843305
1396,CD4 T cell,-0.11816219440332013
1397,CD4 T cell,-0.09278823579117035
1398,Proximal tubule,-0.3499655806030832
1399,Proximal tubule,0.05594149744947988
1402,Proximal tubule,-0.07989325697544304
1404,Proximal tubule,0.09162985288998732
1407,Proximal tubule,-0.011346836538120185
1408,NK cell,0.17508507378095464
1409,NK cell,0.21694176544808982
