,Differentiated keratinocytes I,Differentiated keratinocytes II,Endothelial cells,Fibroblasts I,Fibroblasts II,Immune,Melanocytes/melanocyte-like,Pericytes,Terminally differentiated keratinocytes,Undifferentiated keratinocytes I,Undifferentiated keratinocytes II
EFNA1,0.9444747,0.93490475,0.0,0.0,0.0,0.0,0.0,0.0,0.9909675,1.1929752,1.0565523
FDPS,0.42682385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51891446,0.0,0.395999
SSR2,0.69963473,0.68988824,0.0,0.0,1.0929117,0.0,0.0,0.0,0.27219576,0.9227897,0.94133455
LAMTOR2,0.5557489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3051402,0.0,0.0
RAB25,1.3656445,0.88970506,0.0,0.0,0.0,0.0,0.0,0.0,1.7176795,0.0,0.0
LMNA,1.8033459,1.7668025,2.0553055,1.6551186,2.134089,1.7254883,2.1419435,1.6174862,2.0192797,1.9517183,1.8952287
TMEM79,0.6449003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.031651,0.0,0.0
CCT3,0.629143,0.5484956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7564857
CRABP2,0.6996007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5541048,0.0,0.0
HDGF,0.5411781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89583516,0.0,0.6510647
IFI16,0.0,0.0,1.1091276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACKR1,0.0,0.0,2.215777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAGLN2,1.6954385,1.568933,2.057746,0.93984157,1.6408863,1.6592982,0.0,1.1323853,0.8806112,1.6764545,1.8633525
PEA15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63579226,0.0,0.0
TSTD1,0.790514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7841866,0.0,0.5655327
NECTIN4,0.611841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3302574,0.0,0.0
PFDN2,0.60525846,0.75355726,0.0,0.0,0.0,0.0,0.0,0.0,0.36799893,0.7426542,0.79512465
UFC1,0.6710536,0.52107173,0.0,0.0,0.0,0.0,0.0,0.0,0.63728833,0.0,0.6594613
SDHC,0.35839945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.374247,0.0,0.0
RGS5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5367126,0.0,0.0,0.0
MGST3,0.7277032,0.15019958,1.4567953,1.7520556,1.9169909,0.0,1.3664523,2.4504204,0.0,0.96832126,0.88646436
ALDH9A1,0.54017484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMCO1,0.42611313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CREG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.603841,0.0,0.0
MPC2,0.54660493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72706825
DPT,0.0,0.0,0.0,0.0,1.7255754,0.0,0.0,0.0,0.0,0.0,0.0
SLC19A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2729053,0.0,0.0
PRRX1,0.0,0.0,0.0,0.0,0.8655999,0.0,0.0,1.4617387,0.0,0.0,0.0
PRRC2C,0.4843807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35975957,0.0,0.5634328
PRDX6,1.3491261,1.0005724,0.0,0.0,1.011633,0.0,0.0,0.0,1.3214521,1.0017159,1.1573536
CACYBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6181576
IER5,0.7578682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5070217,0.0,0.0
GLUL,0.0,0.0,1.2273463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARPC5,0.6114103,0.0,0.0,0.0,0.0,0.0,0.0,1.4069703,0.5078578,0.0,0.728562
C1orf21,0.7019881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5728654,0.7931558,0.56641716
IVNS1ABP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5226386,0.0,0.0
TPR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3727556
CFH,0.0,0.0,0.0,2.2395666,2.7137513,0.0,0.0,0.0,0.0,0.0,0.0
PTPRC,0.0,0.0,0.0,0.0,0.0,0.78502065,0.0,0.0,0.0,0.0,0.0
INAVA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32765126,0.0,0.0
PKP1,2.2611618,1.9167683,0.0,0.0,0.0,0.0,0.0,0.0,2.7602246,0.94017446,1.1499325
LAD1,0.9221282,0.52093273,0.0,0.0,0.0,0.0,0.0,0.0,1.1447611,0.0,0.0
CSRP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9152613,0.0,0.0,0.46414104
KDM5B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23768747,0.0,0.0
ADIPOR1,0.56114155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63694185,0.890679,0.64741427
CYB5R1,0.5215093,0.66602105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0039012,0.6238451
BTG2,1.7231121,1.9584432,0.0,0.0,0.0,0.0,0.0,0.0,2.3559642,2.3577504,1.78349
PRELP,0.0,0.0,0.0,0.0,1.3687966,0.0,0.0,0.0,0.0,0.0,0.0
ATP2B4,0.28040403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4943779,0.0,0.0
ZC3H11A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30933374,0.0,0.0
SNRPE,0.5327909,0.40636826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5152967,0.8528825
NUCKS1,0.83035,0.54409003,0.0,0.68247086,1.1593194,0.0,0.0,1.0480888,0.0,0.84962845,1.3168375
CD55,0.49865255,0.92247,0.0,0.0,0.0,0.0,0.0,0.0,1.6851974,0.5989208,0.47996098
CD34,0.0,0.0,1.839566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR205HG,1.2367904,1.3013229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2700934,1.3320025
LAMB3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9509077,0.0
IRF6,0.65710306,0.92379594,0.0,0.0,0.0,0.0,0.0,0.0,0.9008827,0.8744377,0.7570258
NENF,0.5785347,0.0,0.0,0.0,1.1981325,0.0,0.0,0.0,0.0,0.0,0.7705879
ATF3,1.8697374,1.397842,0.0,0.0,0.0,0.0,0.0,0.0,1.6936519,2.2478762,1.4211447
DEGS1,1.7463474,1.2338488,0.0,0.0,0.0,0.0,0.0,0.0,1.7225319,1.3011284,0.995687
CNIH4,0.41835126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42585027,0.0,0.51474005
ENAH,0.36861876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRP9,0.8252188,0.62814283,1.1700718,0.0,0.0,0.0,0.0,0.0,0.8446283,0.7951493,1.0586172
EPHX1,0.0,0.0,0.0,0.78102624,1.1910182,0.0,0.0,0.0,0.0,0.0,0.0
H3-3A,2.4643111,2.4330945,2.401844,2.0904171,2.266159,2.1843524,2.3588278,2.2256944,2.4782784,2.5656352,2.7043264
ARF1,0.9441867,0.93214136,1.0365089,0.0,0.0,0.0,0.0,0.0,1.17783,0.9695647,0.9254501
GUK1,1.9280694,1.6937499,1.8717711,0.9742111,1.1845239,0.0,0.0,1.5329329,1.654753,2.0400357,1.6948377
RNF187,0.6961482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65569675,0.0,0.0
RAB4A,0.45436704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32112345,0.0,0.48406875
IRF2BP2,0.2861433,0.6745788,0.0,0.0,0.0,0.0,0.0,0.0,0.55807203,0.0,0.0
TOMM20,1.1280918,1.0845785,0.0,0.0,0.0,0.0,0.0,0.0,0.989962,1.1851504,1.1325164
HNRNPU,0.46803594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5162369,0.0,0.69195294
SH3YL1,0.27946734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5258792
ACP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44817454
RPS7,3.6286047,3.7002087,3.3394268,2.8143408,2.6744514,3.3459532,2.5620005,3.3917909,3.060052,3.5699244,3.585422
ID2,0.7833111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62019575,0.8343308,0.59679186
MBOAT2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63580275,0.0,0.0
YWHAQ,0.95623827,0.96882,0.0,0.0,1.1936674,0.0,0.0,1.4326513,0.8337687,1.073872,1.2699097
GRHL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0795488,0.0,0.0
PDIA6,0.40429384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44713008
LRATD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3810438,0.0,0.0
LAPTM4A,1.2380147,0.9927547,1.5498106,2.3710601,2.655573,0.0,1.5712018,2.1459334,1.0271446,1.339283,1.3875802
SDC1,1.3191378,0.9128101,0.0,0.0,0.0,0.0,0.0,0.0,2.0140448,0.9160358,0.76807034
RHOB,1.4390798,0.99740255,0.0,0.0,0.7569128,0.0,0.0,1.3730177,1.5682341,1.1962247,0.99611723
SF3B6,1.1573032,1.1063609,0.75176775,0.0,0.0,0.0,0.0,0.98722816,0.94779426,1.0533502,1.1525638
