,cd3_gd,cd4_cm,cd4_naive,cd4_tem,cd4_temra,cd4_treg,cd4_trm,cd8_cm,cd8_mait,cd8_naive,cd8_tem,cd8_temra,cd8_trm,dc1,dc2,ilc1,ilc3,macrophage,monocyte_classical,monocyte_nonclassical,nk_cd56br,nk_cd56dim,nk_ilc_precursor,pdc,progenitor
NUDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5298325,0.0,0.0,0.0,0.17175296,0.28795305,0.0,0.0,0.0,0.0,0.28590652,0.0,0.0,0.29657248,0.0,0.5239039
SYTL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40380788,0.42984566,0.0,0.0
WASF2,0.0,0.0,0.43789664,0.0,0.0,0.20309412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40605414,0.24501044,0.0,0.0,0.1597333,0.26060516,0.50833863,0.0,0.0,0.0,0.1671298,0.22763538
AHDC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5583298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2881239,0.4415101,0.0,0.0,0.67755514,1.0348048,1.0835878,0.0,0.5344128,0.0,0.0,0.0
IFI6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18116449,0.0,0.0,0.0,0.0,0.0,0.0,0.09017453
STX12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1814674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THEMIS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34674832,0.0,0.0,0.39181036,0.6342869,0.6611438,0.0,0.0,0.0,1.210955,0.0
RPA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15955304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07872557
PTAFR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20203461,0.0,0.0,0.0,0.3689412,0.0,0.0,0.0,0.0,0.0,0.0
DNAJC8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23717868,0.0,0.0,0.0,0.22231652,0.27612603,0.0,0.6384646,0.08259201,0.0,0.09820406,0.0,0.0,0.0,0.0,0.27999043
