,Cell_label,silhouette_score
706876_Aged2_706876_4,CD8+ effector memory T cells,-0.0020208180442767574
637616_Aged2_637616_4,Non-classical monocytes,0.5948445686339424
436934_Aged2_436934_4,HSCs & MPPs,0.5167395793657441
633279_Aged2_633279_4,HSCs & MPPs,-0.6799919341399898
241161_Aged2_241161_4,HSCs & MPPs,0.3565060446962049
180131_Aged2_180131_4,Late erythroid progenitor,0.24965102768961014
353864_Aged2_353864_4,Nonswitched memory B cells,-0.01944462646402794
116233_Aged2_116233_4,Lymphomyeloid prog,0.051098895270795
298975_Aged2_298975_4,Early promyelocytes,0.4578390526023817
723971_Aged2_723971_4,CD8+CD103+ tissue resident memory T cells,-0.3393248946033348
35338_Aged2_35338_4,CD4+ memory T cells,0.1777035250626215
259050_Aged2_259050_4,Plasmacytoid dendritic cells,0.7369183505703715
227415_Aged2_227415_4,Late promyelocytes,-0.3241050528521309
113072_Aged2_113072_4,CD4+ memory T cells,0.2145069699138241
686337_Aged2_686337_4,HSCs & MPPs,0.5234628047123822
665010_Aged2_665010_4,Conventional dendritic cell 2,0.5873230834039556
110428_Aged2_110428_4,CD4+ memory T cells,0.1369214491709668
721477_Aged2_721477_4,CD8+CD103+ tissue resident memory T cells,-0.5819109755313893
648443_Aged2_648443_4,CD4+ memory T cells,0.2338819843137557
662457_Aged2_662457_4,Non-classical monocytes,0.614468739080952
583142_Aged2_583142_4,Non-classical monocytes,0.7599665832644735
634204_Aged2_634204_4,Pre-B cells,0.4162943355738501
654411_Aged2_654411_4,Nonswitched memory B cells,0.07988091601424295
148886_Aged2_148886_4,Nonswitched memory B cells,0.06030634231880945
461397_Aged2_461397_4,Class switched memory B cells,-0.07990919482114685
551841_Aged2_551841_4,Plasmacytoid dendritic cells,0.6401533660791203
107254_Aged2_107254_4,CD4+ memory T cells,0.2969769631115453
640915_Aged2_640915_4,CD4+ memory T cells,0.17295507577790442
345715_Aged2_345715_4,Plasmacytoid dendritic cell progenitors,0.46230794261458097
233285_Aged2_233285_4,Pre-B cells,-0.2029402930484029
245254_Aged2_245254_4,Early erythroid progenitor,0.5373867521449859
572088_Aged2_572088_4,Early promyelocytes,-0.17255761485723564
542135_Aged2_542135_4,CD4+ memory T cells,0.07854180085618197
834039_Aged2_834039_4,CD4+ memory T cells,0.1857786315474761
367200_Aged2_367200_4,CD4+ memory T cells,0.21542083525028305
41739_Aged2_41739_4,HSCs & MPPs,0.44773771259453665
825062_Aged2_825062_4,Early promyelocytes,0.14377048952597354
682748_Aged2_682748_4,Conventional dendritic cell 2,0.2397366278547402
812960_Aged2_812960_4,CD4+ memory T cells,0.1570439654301087
40758_Aged2_40758_4,Nonswitched memory B cells,0.20070582878716786
32281_Aged2_32281_4,Non-classical monocytes,0.6856063028910031
281238_Aged2_281238_4,CD4+ memory T cells,0.1057643053348508
764791_Aged2_764791_4,Pre-B cells,0.26974668594521223
429485_Aged2_429485_4,HSCs & MPPs,0.05044392874226129
186144_Aged2_186144_4,Plasmacytoid dendritic cells,0.6948960170084381
851214_Aged2_851214_4,HSCs & MPPs,0.3309552283273784
436963_Aged2_436963_4,HSCs & MPPs,-0.25717701607012194
812875_Aged2_812875_4,CD8+ effector memory T cells,0.09622846917714249
428962_Aged2_428962_4,Class switched memory B cells,-0.10097049982255824
446521_Aged2_446521_4,Pre-B cells,0.02758970252082665
864303_Aged2_864303_4,Early erythroid progenitor,0.3929970873651706
841497_Aged2_841497_4,CD4+ memory T cells,0.11282323315434138
802044_Aged2_802044_4,CD8+CD103+ tissue resident memory T cells,-0.5970409666135654
776999_Aged2_776999_4,CD8+ effector memory T cells,0.10437294604908834
223528_Aged2_223528_4,GammaDelta T cells,-0.16965266926572947
