,B,CCDlike,CNT,CTAL,DCT,Endothelial,ICA,ICB,LOHlike,MNP,Mesangial,NK,PC,PEC,PT,Podocytes,T cell,VCAM1_PT,unknown
ENSG00000117616,0.996076,0.0,3.9763563,0.99938464,0.9822617,0.9957683,1.9947212,2.9915462,0.0,0.99846524,0.0,0.9968945,1.9944266,1.9911506,0.0,0.0,0.99466825,0.99783885,1.9686117
ENSG00000183726,0.0,0.0,3.9805636,0.9892892,0.9723068,0.99173594,0.99643266,0.9792318,0.0,0.9940656,0.98944837,0.0,1.9874713,1.9929304,0.0,0.47954363,0.0,1.9720292,0.9965718
ENSG00000204178,0.0,0.0,0.9804177,0.0,0.0,0.0,0.0,0.96411854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000117643,0.0,0.0,0.99617064,0.0,0.0,0.0,0.9720014,0.0,0.0,0.0,0.0,0.0,0.97754395,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162430,0.0,0.0,0.9808456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000117640,0.0,0.0,1.9397,0.9475908,0.9566527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96880263,0.9695039,0.0,0.0,0.0,0.0,0.0
ENSG00000117632,0.0,0.0,1.9631164,0.9929488,0.99386245,0.0,0.89258444,0.922763,0.0,0.0,0.0,0.0,0.9906133,1.9024498,0.0,0.0,0.0,1.8900704,0.99456406
ENSG00000142684,0.0,0.0,1.9885162,0.0,0.0,0.0,0.943449,0.94645405,0.0,0.0,0.0,0.0,0.98677045,0.93815595,0.0,0.0,0.0,0.922089,0.0
ENSG00000142669,0.94890165,0.0,3.2793515,0.943947,0.9002791,0.98408043,0.95468444,0.8851383,0.0,3.9940946,0.0,2.993466,1.8883653,0.9430206,0.0,0.46750516,2.9928656,0.96204376,0.0
ENSG00000169442,3.998869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9965074,0.0,0.0
ENSG00000198830,0.6340066,0.9586839,7.949868,2.88561,1.978667,0.0,1.9796901,1.9791782,0.9740532,1.9869928,0.9801033,0.9893168,3.9573336,5.989253,0.9716765,0.95676154,0.97877026,2.9202862,2.977854
