,acinar,acinar_minor_mhcclassII,alpha,beta_major,beta_minor,delta,duct_acinar_related,duct_major,endothelial,epsilon,hybrid,immune_stellates,pp,stellates
ENSG00000182165,0.0,0.0,0.0,0.3157632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5188181,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000147604,3.0892355,3.8118086,2.443768,2.6464086,2.625114,2.5127428,3.2538528,3.4085925,2.8722892,2.0943737,3.2000809,3.5232596,2.6029212,3.3551269
ENSG00000157020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44947547
ENSG00000155959,0.0,0.0,0.32089418,0.21006162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3926963
ENSG00000130414,0.0,0.0,0.0,0.2687354,0.0,0.0,0.0,0.26999095,0.0,0.0,0.0,0.0,0.0,0.29937202
ENSG00000213585,0.28250068,0.7432716,0.8087317,0.6262727,0.3834021,0.54657435,0.85209006,1.161596,0.69829667,0.0,0.49955297,0.0,0.0,1.0014687
ENSG00000164713,0.56035876,0.0,1.1309621,1.1343274,1.0093945,0.9351158,1.3252134,0.990302,1.4261322,0.0,1.2025194,0.70593816,0.8285473,1.6071627
ENSG00000121579,0.0,0.0,0.0,0.0,0.0,0.0,0.28861856,0.0,0.0,0.0,0.0,0.0,0.0,0.5391836
ENSG00000129226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7968856,0.0,0.2976868
ENSG00000119335,0.4560215,0.5199753,1.0480287,0.90621936,0.7666211,0.85947514,1.4361827,1.2959955,1.2563021,0.0,1.1921023,0.0,0.8287654,1.088521
ENSG00000177469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8723115
ENSG00000100911,0.0,0.35815227,0.34177828,0.25094673,0.0,0.0,0.0,0.8205633,0.0,0.0,0.0,0.0,0.0,0.6400949
ENSG00000101193,0.0,0.0,0.0,0.1550367,0.0,0.0,0.21856967,0.24053642,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000163660,0.0,0.0,0.48520756,0.0,0.0,0.0,0.83595645,0.61827534,0.42342618,0.0,0.0,0.0,0.0,0.4863648
ENSG00000116898,0.14825305,0.2976427,0.35296518,0.41774786,0.0,0.22891991,0.36772487,0.6327846,0.0,0.0,0.0,0.0,0.0,0.6984225
ENSG00000183978,0.0,0.0,0.0,0.46798003,0.20831265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000180628,0.0,0.0,0.52330995,0.33304498,0.0,0.0,0.76928,0.5992292,0.0,0.0,0.43882057,0.0,0.0,0.0
ENSG00000114631,0.0,0.0,0.0,0.22217281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000135930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4823676,0.0,0.0,0.0,0.0,0.0,0.5216981
ENSG00000120805,0.0,0.0,0.0,0.40723962,0.0,0.29329005,0.0,0.28989068,0.0,0.0,0.0,0.0,0.0,0.40745416
ENSG00000103502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36574596
ENSG00000171314,0.0,0.0,0.7379216,0.5633809,0.34331876,0.5104259,0.7301186,0.8737457,0.68997884,0.0,0.43178058,0.0,0.0,1.1680067
ENSG00000063854,0.0,0.0,0.0,0.35897303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000115816,0.0,0.0,0.44508106,0.16071194,0.0,0.0,0.34645593,0.0,0.0,0.0,0.0,0.0,0.0,0.38710436
ENSG00000087191,0.0,0.0,0.86847997,0.69419885,0.39367974,0.6772676,0.78244054,0.91942215,0.0,0.0,0.34644312,0.0,0.0,0.81445324
ENSG00000214941,0.0,0.0,0.0,0.15923476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000211445,0.0,0.0,1.7192582,0.5056182,0.35854048,1.1078978,0.0,0.0,0.0,0.0,0.49205723,0.0,0.329885,0.96960294
ENSG00000172354,0.30058342,0.0,0.90595794,0.59506035,0.3921879,0.594951,0.8727142,0.90828127,0.0,0.0,0.6317446,0.0,0.76372826,0.65216017
ENSG00000146007,0.0,0.0,0.0,0.14117436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000107874,0.0,0.0,0.0,0.1676464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000137207,0.0,0.0,0.0,0.41472468,0.0,0.177778,0.3773545,0.5141543,0.0,0.0,0.0,0.0,0.0,0.53207767
ENSG00000183844,0.61469615,0.756979,0.0,0.0,0.0,0.0,0.3972085,0.574927,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000130770,0.45043558,1.0311565,1.301688,1.1324993,0.9878804,1.1985993,1.0537155,1.3221318,0.8515713,0.0,0.8779566,0.0,0.8931592,0.7892384
ENSG00000130724,0.3287851,0.67818433,0.92219615,0.7430811,0.54540485,0.77447546,0.9841093,1.1678079,0.87964606,0.0,0.53051937,0.0,0.34090763,0.92339957
ENSG00000065000,0.0,0.0,0.0,0.12791087,0.0,0.0,0.0,0.26999095,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0592318,0.0,0.0
ENSG00000060138,0.8438858,0.5788608,0.0,0.0,0.0,0.0,1.4555023,1.0866677,1.656313,0.0,0.0,0.0,0.0,1.3171611
ENSG00000145354,0.0,0.0,0.6050205,0.5124442,0.33864757,0.51613474,0.0,0.46764573,0.0,0.0,0.0,0.0,0.0,0.0
