,Endothelial cell (lymphatic),Endothelial cell (vascular),Epithelial cell (alveolar type I),Epithelial cell (alveolar type II),Epithelial cell (basal),Epithelial cell (ciliated),Epithelial cell (club),Fibroblast,Immune (B cell),Immune (DC/macrophage),Immune (NK cell),Immune (T cell),Immune (alveolar macrophage),Immune (mast cell),Pericyte/SMC
ATP13A4,0.0,0.0,2.3489847,0.0,1.7797129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACAP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1254485,0.0,0.0
TFRC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4925957,0.0,0.0
LDB2,3.1261773,3.7064447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLIT2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6928253,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC34A2,0.0,0.0,0.0,1.9436848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEL1L3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3707352,0.0,0.0,0.0,0.0,0.0,0.0
RBPJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4253886,0.0,0.0,0.0,0.0,0.0
ARAP2,0.0,0.0,1.7568022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DTHD1,0.0,0.0,0.0,0.0,0.0,1.8307283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBM47,0.0,0.0,0.0,2.2298806,0.0,1.8476322,2.0770407,0.0,0.0,2.762336,0.0,0.0,2.8596117,0.0,0.0
APBB2,0.0,0.0,2.6852047,0.0,0.0,0.0,0.0,1.9888546,0.0,0.0,0.0,0.0,0.0,0.0,1.5198257
LIMCH1,0.0,0.0,3.759655,2.7558732,2.4368734,1.6677358,3.0742192,2.9626215,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP8A1,0.0,0.0,1.8217561,2.2740207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TXK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6222854,0.0,0.0,0.0,0.0
KIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9678564,0.0
ADGRL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.042993
ANKRD17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0796862,0.0,0.0,0.0,0.0,0.0,0.0
SHROOM3,0.0,0.0,2.3717203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CFAP299,0.0,0.0,0.0,0.0,0.0,3.5797188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RASGEF1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.654092,0.0,0.0
