,act_CD4,act_CD8,act_unassigned,rest_CD4,rest_CD8,rest_unassigned
COPE,0.4953655,0.53227574,0.0,0.0,0.0,0.0
ENSG00000283041,1.3312962,1.0297703,1.330872,1.4342806,1.1166246,1.3691666
PSMB3,0.6728181,0.67350805,0.0,0.0,0.0,0.0
SLC3A2,0.37511048,0.62772894,0.0,0.0,0.0,0.0
CALR,0.7045563,0.8025374,0.0,0.0,0.0,0.0
UBC,0.89492965,0.9967858,0.9174543,0.9222928,1.0933615,0.0
RPL31,2.5145671,2.2690842,2.7470741,2.678494,2.420116,2.5398748
PPIB,0.6070258,0.7553667,0.0,0.0,0.0,0.0
NDUFB11,0.2595857,0.36484036,0.0,0.0,0.0,0.0
DNAJA1,0.45663393,0.0,0.0,0.0,0.0,0.0
MT-ATP6,1.7096844,2.1108577,1.6865747,1.7392249,2.2275057,1.7969714
ATP5MG,1.2777975,1.2876022,1.1846566,1.1343558,1.231951,1.119775
SERBP1,0.7676784,0.66197544,0.0,0.0,0.0,0.0
RPS27A,3.0884898,2.8782165,3.2622473,3.2143824,2.98819,3.1416862
SEM1,0.41031298,0.0,0.0,0.0,0.0,0.0
CD3D,1.1380403,1.5004573,1.1124954,1.0807548,1.4935365,0.99541724
COX5A,0.4466569,0.47408637,0.0,0.0,0.0,0.0
EIF3E,0.80068237,0.49806112,0.8913217,1.0836866,0.0,1.0505852
SUMO1,0.55556154,0.6070258,0.0,0.0,0.0,0.0
RBMX,0.6736462,0.654859,0.0,0.0,0.0,0.0
RPL7A,2.0365987,1.7674361,2.0207148,1.9780841,1.7691109,1.9088871
GMFG,0.6902275,0.7201532,0.0,0.7855257,0.80058324,0.0
CD44,0.67350805,0.8460709,0.7456212,0.8254556,0.8991759,0.0
ATP6V0E1,0.699139,0.74261385,0.36564273,0.0,0.0,0.0
SAMSN1,0.31780523,0.757478,0.0,0.0,0.0,0.0
ENSG00000185641,0.4406143,0.0,0.0,0.63885415,0.0,0.0
FUS,0.40037432,0.30777064,0.0,0.0,0.0,0.0
ENSG00000146677,0.8442929,0.5881519,0.0,0.9160495,0.0,0.9515589
MTDH,0.5459831,0.6171119,0.0,0.0,0.0,0.0
RPL35A,2.5744765,2.3285167,2.6889424,2.6891952,2.4646633,2.6171627
LSP1,0.0,0.37037066,0.0,0.0,0.8137939,0.0
ACTB,2.7255278,2.7185133,2.2934923,2.3222718,2.330153,2.0842032
POMP,0.8292794,0.8797332,0.0,0.0,0.0,0.0
GPR171,0.0,0.50740826,0.0,0.0,0.0,0.0
