Original_annotation,mean,std,median,count,q1,q3,f_score
B_memory,-0.21562735470017805,0.13333393303229324,-0.237838775,1348,-0.282676185,-0.1230947105,0.3793684855916615
Vascular Smooth Muscle,-0.19941554460042643,0.25313716558277755,-0.24647994,469,-0.42490068,0.042900726,0.4759825327510917
B_plasmablast,-0.2509677644,0.15885211785312198,-0.247420285,50,-0.372727335,-0.15303359500000002,0.5864197530864198
SMC,-0.24135475342028984,0.13042015469814794,-0.2572116,69,-0.29666263,-0.16714142,0.746268656716418
Fibro_myofibroblast,-0.2996508108066914,0.12508938272508718,-0.26584533,538,-0.3659949225,-0.2084909025,0.3842315369261477
CD8+ Naive T,-0.30370923027073,0.17617980249587364,-0.26890028,1411,-0.47371348999999996,-0.13689284000000002,0.5501583949313622
Monocyte,-0.28824864879160544,0.19751608368514487,-0.2691445,6067,-0.41897983,-0.1232967125,0.6684834882975312
NK_CD11d,-0.2663391912110054,0.2136871202631358,-0.26956861,736,-0.45295298,-0.1078221745,0.2044025157232704
T_Cytotoxic,-0.27824471794888206,0.14284666356861847,-0.27627382,4061,-0.36008602,-0.16449493,0.5831795668641352
Fibro_alveolar,-0.22367000178869176,0.22820161195463412,-0.284600395,2790,-0.414624555,-0.01343740925,0.5726508555989193
B_plasma_IgG,-0.3554317178644068,0.19838021202714923,-0.29039815,295,-0.46329792000000003,-0.218518905,0.3741935483870968
Fibro_immune_recruiting,-0.30570428921568626,0.15418603495244743,-0.29361245,51,-0.399826475,-0.205876425,0.3623188405797101
Muscle_smooth_pulmonary,-0.30410804588956,0.11131717759116845,-0.29951307,1159,-0.35198489,-0.23286805,0.6669547680783636
NK_CD56bright,-0.2716659459354839,0.21018572311747316,-0.30094928,744,-0.436800795,-0.1067617725,0.2415026833631484
Suprabasal,-0.3467616545192308,0.1478084843892915,-0.30408585,312,-0.40598773,-0.2390683125,0.5729166666666666
Macrophage_MARCOpos,-0.36452552945656025,0.18370325584193034,-0.309532675,4512,-0.51170018,-0.216475515,0.7714180206794683
AT2,-0.30925785889660345,0.19406205896504752,-0.30986527,6851,-0.47575482999999996,-0.15326011,0.8516998126818381
Mesothelial,-0.28056701586933336,0.21081566677956676,-0.31209153,75,-0.43617700000000004,-0.0820354125,0.4294478527607362
Macro_AW_CX3CR1,-0.338311841935027,0.23581371964838616,-0.31463796,185,-0.5116351,-0.11391975,0.1199040767386091
T_CD4,-0.32158107269078773,0.19414689512591016,-0.31926787,7211,-0.502801075,-0.155951895,0.4608393706863291
Macro_int,-0.2890516645953195,0.20959822321677904,-0.32021102,4241,-0.45328006,-0.10015334,0.3372998512555779
Fibroblast,-0.3463008726735718,0.2655755083341219,-0.32557019499999995,5470,-0.5775364625,-0.11513044625,0.5998360823686097
Fibro_adventitial,-0.27927231173490386,0.3442147937448651,-0.3259263,3589,-0.59216607,0.07859936,0.5164510166358596
DC_2,-0.33384811707897344,0.16280064651159734,-0.33188778,2601,-0.49188855,-0.20150906,0.5462184873949579
Ciliated,-0.34347329089936124,0.19584163151578668,-0.352074205,4822,-0.465045935,-0.2013200325,0.9279764821166095
Differentiating Basal,-0.3754888415502008,0.13340269155902448,-0.35381576,249,-0.4449122,-0.27632532,0.499001996007984
Endothelia_vascular_Cap_g,-0.3511700059351326,0.17094585295415557,-0.35580247499999995,7788,-0.4901713,-0.2091605775,0.5705298690671031
Mast_cell,-0.3974215611317338,0.14933429176584864,-0.35993853,2209,-0.5200485,-0.26897076,0.7482167248444377
Muscle_cells,-0.3628993123122765,0.13369595770692463,-0.36424857,839,-0.424954465,-0.27326032499999997,0.5981862574119289
cDC2,-0.39978932607331374,0.2076924367257591,-0.365776835,1364,-0.5737238250000001,-0.2765729775,0.4442148760330578
ILC,-0.3644178576105794,0.167625041015227,-0.36711478,397,-0.45280042,-0.25776002,0.2484076433121019
Proliferating Macrophage,-0.44853449805309736,0.14235116714478754,-0.390137735,226,-0.40718831,-0.3628717125,0.7827476038338658
NK_CD16hi,-0.41334049227426445,0.16097928129989486,-0.390698835,5914,-0.57738835,-0.26044109,0.5992134676417828
CD4_naive/CM,-0.36289754763648985,0.19487635741859682,-0.39116696,2413,-0.5397231,-0.18883643,0.2762535477767265
NK,-0.4019187168050448,0.14958773471921574,-0.39974104,13162,-0.5115113625000001,-0.28162027749999996,0.4856595927258325
Monocyte_CD16,-0.38784952043245907,0.13759612567713828,-0.40193152499999996,3050,-0.496162005,-0.2880344925,0.4636926540951309
Macro_CCL,-0.40796414757288135,0.21519894315161506,-0.4045591,295,-0.5878004,-0.2512864,0.1067961165048543
MAIT,-0.4171983765142207,0.13188378753058877,-0.40910932,879,-0.43578651,-0.36279336,0.3126526624328285
DC_1,-0.3954399743378076,0.17540091241586583,-0.4092297,447,-0.5766217499999999,-0.24760516500000002,0.5780164245104232
CD8_EM,-0.3914747866910995,0.1875187975562041,-0.41684803,2865,-0.5047023,-0.23457333,0.3334992533598805
DC_activated,-0.42180165982625484,0.09326692041259119,-0.41816946,518,-0.482374945,-0.35041161499999995,0.6397459165154264
Macrophage_intermediate,-0.40382010086358594,0.1974488331032534,-0.4181994,2309,-0.55744314,-0.26479053,0.2996677740863787
NKT,-0.3859365043914388,0.17064691154321074,-0.42224819999999996,1682,-0.515647605,-0.2812784925,0.1860858532459293
T_cells_Dividing,-0.42025839034090906,0.1437200383843902,-0.42420471000000004,88,-0.4605685425,-0.36793887000000003,0.6712962962962963
Macrophage,-0.4087820036978706,0.18559792458575508,-0.4357831,55481,-0.55311817,-0.2776803,0.6548421347974627
Macro_alveolar_metallothioneins,-0.44421742583734936,0.1888927183882376,-0.44592032000000004,332,-0.5600378524999999,-0.2886318125,0.5567226890756303
Endothelia_vascular_Cap_a,-0.4670628600203418,0.13001646824240423,-0.45562241000000003,2458,-0.5495544250000001,-0.3739192025,0.4793200140203295
NK_Dividing,-0.4431880964476923,0.21107950726973568,-0.45619546,130,-0.6301829674999999,-0.2939131125,0.6040268456375839
T_CD8_CytT,-0.4527134978105995,0.12402609515568784,-0.458127,5755,-0.54143455,-0.38173197000000003,0.5159933180721401
gdT,-0.43221771653054103,0.1625830366568126,-0.4674039,573,-0.55308104,-0.3465049,0.261501210653753
T_regulatory,-0.4647377195218295,0.1316862666396247,-0.47625482,481,-0.58023304,-0.3890075,0.2688860435339308
CD4_EM/Effector,-0.45370984732806435,0.14832910589620657,-0.482072185,3606,-0.5784669250000001,-0.35738611,0.1963959475170237
Dividing_Basal,-0.46348195709375,0.330184904483159,-0.48261756,32,-0.85127265,-0.089164259,0.064516129032258
Bronchial Vessel 2,-0.4353749961829787,0.18934272329783333,-0.48535508,235,-0.5812808,-0.29789265499999995,0.2576112412177986
T_reg,-0.4326408241980907,0.16722179690608932,-0.4873609,419,-0.5773842,-0.30542824,0.0638617580766341
Goblet,-0.5485789217307692,0.16809773579537232,-0.48789117,260,-0.70521246,-0.39572273,0.4104477611940298
