,AT2 cell,Antigen presenting cell (RPS high),B cell,B cell (Plasmocyte),Basal cell,CB CD34+,Chondrocyte,Dendritic cell,Endothelial cell,Endothelial cell (APC),Endothelial cell (endothelial to mesenchymal transition),Epithelial cell,Fetal chondrocyte,Fetal epithelial progenitor,Fetal mesenchymal progenitor,Fetal stromal cell,Fibroblast,M2 Macrophage,Macrophage,Mast cell,Mesothelial cell,Monocyte,Neutrophil,Neutrophil (RPS high),Sinusoidal endothelial cell,Smooth muscle cell,Stratified epithelial cell,Stromal cell,T cell,Thyroid follicular cell
SERF2,0.3869018390260894,0.4862054606963848,0.39683332730983867,0.3819477414262706,0.0,0.0,0.3793103448275862,0.40308875667637795,0.0,0.3864235960204026,0.4218061566352844,0.44376255109392365,0.43720151843695804,0.4457516999080263,0.5307887813140606,0.0,0.0,0.4659567146465696,0.39356101997967424,0.4089295165292148,0.0,0.0,0.0,0.4332503388667929,0.0,0.41150380825174265,0.0,0.0,0.40907314111446513,0.3799258018362111
NOP10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000211592,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL12,0.14337649838677768,0.10344827586206896,0.14529147230345626,0.12859619280387616,0.20073592251744762,0.18221806657725367,0.13619363102419624,0.1432375373511479,0.2019781593618722,0.16867901744513675,0.14342960406994,0.2549785478361722,0.0,0.0,0.25933192310662107,0.30166850624413327,0.1469050358081686,0.11172910394339726,0.1252883713820885,0.19472874855173045,0.27382372576614905,0.1369040135679574,0.0,0.3362107729089671,0.1917017225561471,0.18094775183447476,0.14315845843019157,0.2540032699190337,0.16712393637361198,0.19608464323241134
MSN,0.0,0.968979484048383,0.0,0.0,0.0,0.0,0.0,0.0,0.9655172413793104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUC1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPS3,0.2625344765597376,0.2837496256006175,0.36203447087057705,0.21384796397439365,0.21076410597768322,0.23605550363146025,0.0,0.26349753346936455,0.0,0.2359115686909906,0.26376002821429023,0.3210151031099517,0.24559902322703395,0.0,0.2797495332257501,0.0,0.22707028430083703,0.20689655172413793,0.22436582631078258,0.2915150214885843,0.3271781062257701,0.2562484186271141,0.21160311945553484,0.4283459001574023,0.2892375197903863,0.23352593594583973,0.0,0.22128131471831222,0.33509524937333734,0.0
NAA38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CD74,0.0,0.7027672590880558,0.7600165153371876,0.0,0.0,0.0,0.0,0.8026597417634109,0.692606547783161,0.6896551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7886751951842472,0.7439843806727179,0.0,0.0,0.7047468814356573,0.0,0.7058951813599159,0.7286371876453531,0.0,0.0,0.0,0.0,0.0
RNASE2,0.0,0.9688140359418146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9655172413793104,0.0,0.0,0.0,0.0,0.0,0.0
DDIT4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAP1,0.0,0.9655172413793104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9779288296041817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
