,B cells,CD16+ NK cells,CD16- NK cells,CD4 T cells,Central venous LSECs,Cholangiocytes,Classical monocytes,DC1,DC2,Fibroblasts,Immune mix,Inflammatory macrophages,Interzonal hepatocytes,MAIT cells,Macrophages,Migratory DCs,NK cells,Neutrophils,Non-classical monocytes,Non-inflammatory macrophages,Pericentral hepatocytes,Periportal LSECs,Periportal hepatocytes,Plasma cells,Portal endothelial cells,Stellate cells,Tem/Temra cytotoxic T cells,Tem/Trm cytotoxic T cells,pDC
ENSG00000079308,0.0,0.0,0.0,0.0,0.0,0.8928571428571429,0.0,0.0,0.0,0.9328551036970956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9024733624288014,0.0,0.0,0.0,0.0,0.9225745158536094,0.0,0.0,0.0
ENSG00000136205,0.0,0.0,0.0,0.0,0.0,0.8657842533929008,0.0,0.0,0.0,0.9169438417468753,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8826118111610413,0.0,0.0,0.0,0.0,0.883521597300257,0.0,0.0,0.0
ENSG00000141198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000173726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.862980740410941,0.8577231402908053,0.0,0.0,0.8603538636650357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.8759756088256836
ENSG00000100216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9642857142857143,0.9674859877143588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000196683,0.466399114046778,0.40412781281130655,0.39807933143207,0.5286495302404676,0.0,0.0,0.39794347967420307,0.40336719155311584,0.39165141539914267,0.0,0.3646743425301143,0.39039526666913715,0.0,0.4468666421515601,0.0,0.35714285714285715,0.0,0.0,0.38621942698955536,0.36612190093312946,0.0,0.37646323655332836,0.0,0.370339035987854,0.3581691916499819,0.0,0.4376253400530134,0.4673981411116464,0.41996810265949797
ENSG00000198900,0.0,0.0,0.0,0.0,0.0,0.9265797798122678,0.0,0.0,0.9320863166025707,0.0,0.0,0.0,0.8928571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9166212337357658,0.0,0.0,0.0,0.0,0.0
ENSG00000169905,0.0,0.0,0.0,0.0,0.0,0.9324186210121427,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9427210539579391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000164938,0.0,0.0,0.0,0.0,0.0,0.950324467250279,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9351074014391217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000076554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
