,cell_type,silhouette_score
cell7166,T cell of anorectum,0.6121255828324521
cell7167,T cell of anorectum,0.7276316751871383
cell7168,T cell of anorectum,0.7251311435442152
cell7169,T cell of anorectum,0.7055347588753399
cell7170,T cell of anorectum,0.7373661815992922
cell7171,T cell of anorectum,0.6660181208338745
cell7172,T cell of anorectum,0.6985458114209788
cell7173,T cell of anorectum,0.6128196129131569
cell7174,T cell of anorectum,0.7335153024030534
cell7175,T cell of anorectum,0.6635937816679507
cell11978,T cell of anorectum,0.48726555478352335
cell11979,T cell of anorectum,0.5710266125748781
cell12016,T cell of anorectum,0.5713403077817296
cell12017,T cell of anorectum,0.5575294065436486
cell12018,T cell of anorectum,0.5696655282025884
cell12019,T cell of anorectum,0.4758392027896168
cell12020,T cell of anorectum,0.5634972419493407
cell12021,T cell of anorectum,0.48754825861593626
cell12022,T cell of anorectum,0.6981706943329632
cell12023,T cell of anorectum,0.7482863556807243
cell12024,T cell of anorectum,0.4957680751441671
cell12025,T cell of anorectum,0.5127863125587887
cell12026,T cell of anorectum,0.5251518846154165
cell12027,T cell of anorectum,0.5087019524968517
cell12129,plasma cell,0.7325350526350303
cell12130,plasma cell,0.25884659194842996
cell12131,plasma cell,0.7108016754730107
cell12132,plasma cell,0.7506895363080818
cell12133,plasma cell,0.17663695100866353
cell12134,plasma cell,0.683140518672793
cell12135,plasma cell,0.7523625570455635
cell12136,plasma cell,0.7288482996730133
cell12137,plasma cell,0.16967253108174185
cell12138,plasma cell,0.4578127910210403
cell12139,plasma cell,0.7100129937424523
cell12140,plasma cell,0.6159632274058211
cell12141,plasma cell,0.7562517853012239
cell12142,plasma cell,0.16524966225889073
cell12143,plasma cell,0.676276841328221
cell12144,plasma cell,0.6966498287297972
cell12145,plasma cell,0.6892081044873994
cell12146,plasma cell,0.7193047760710526
cell12147,plasma cell,0.10026798834861105
cell12148,plasma cell,0.7424082253332203
cell12149,plasma cell,0.7463811513498675
cell12150,plasma cell,0.6592389205256741
cell12151,plasma cell,0.2574824755547723
cell12152,plasma cell,0.6344748974087621
cell12153,plasma cell,0.7584025783815771
cell12154,plasma cell,0.736331835047541
cell12155,plasma cell,0.6953635168454938
cell12156,plasma cell,0.6753827583056872
cell12157,plasma cell,0.6809900860176255
cell12158,plasma cell,0.58924073507271
cell12159,plasma cell,0.7141602834652915
cell12160,plasma cell,0.7414421957709224
cell12161,plasma cell,0.6286992465875714
cell12162,plasma cell,0.7580394046243795
cell12163,plasma cell,0.7563338402819206
cell12164,plasma cell,0.7359933602543259
cell12165,plasma cell,0.6568160302455742
cell12166,plasma cell,0.2088455368336552
cell12167,plasma cell,0.5818288628762013
cell12168,plasma cell,0.7444318174933602
cell12169,plasma cell,0.578051721801641
cell12170,plasma cell,0.7342934312130195
cell12171,plasma cell,0.5942123436035049
cell12172,plasma cell,0.7280679539758882
cell12173,plasma cell,0.663368053549037
cell12174,plasma cell,0.7199168819514087
cell12175,plasma cell,0.7518102386898413
cell12176,plasma cell,0.5712207023247144
cell12177,plasma cell,0.2531497370273622
cell12178,plasma cell,0.6998715109718646
cell12179,plasma cell,0.6418577585651136
cell12180,plasma cell,0.7134227848223321
cell12181,plasma cell,0.24748660191671498
cell12182,plasma cell,0.47046165291889624
cell12183,plasma cell,0.7269316243304961
cell12184,plasma cell,0.5513588974523994
cell12185,plasma cell,0.6475984281293408
cell12186,plasma cell,0.7515549893290557
cell12187,plasma cell,0.744846214981158
cell12188,plasma cell,0.15673456804815444
cell12189,plasma cell,0.7548515312079579
cell12190,plasma cell,0.7216530963449101
cell12191,plasma cell,0.7531234080753203
cell12192,plasma cell,0.17234425520127253
cell12193,plasma cell,0.6861667003867373
cell12194,plasma cell,0.7365219716778827
cell12195,plasma cell,0.7541277622013434
cell12196,plasma cell,0.7318387092998812
cell12197,plasma cell,0.5160053187348875
cell12198,plasma cell,0.144797083068903
cell12199,plasma cell,0.7358907709050403
cell12200,plasma cell,0.7445069860201853
cell12201,plasma cell,0.6273006839815052
cell12202,plasma cell,0.7344406703224254
cell12203,plasma cell,0.6610605714608092
cell12204,plasma cell,0.1814040063137467
cell12205,plasma cell,0.4978488339170274
cell12206,plasma cell,0.7401998354077252
cell12207,plasma cell,0.4302000844632396
cell12208,plasma cell,0.7336159991857235
cell12209,plasma cell,0.6789090104326002
cell12210,plasma cell,0.13905629125881677
cell12211,plasma cell,0.6046374221989532
cell12212,plasma cell,0.6823993627432712
cell12213,plasma cell,0.18204300827726572
cell12214,plasma cell,0.7390946441523298
cell12215,plasma cell,0.6946116295703351
cell12216,plasma cell,0.7495735244280146
cell12217,plasma cell,0.7011455678829471
cell12218,plasma cell,0.691910515412863
cell12219,plasma cell,0.7536336155442699
cell12220,plasma cell,0.46294776955671063
cell12221,plasma cell,0.13671606905487546
cell12222,plasma cell,0.18378245158434248
cell12223,plasma cell,0.730339075796976
cell12224,plasma cell,0.6492423600404221
cell12225,plasma cell,0.6648657730576198
cell12226,plasma cell,0.7392485621370656
cell12227,plasma cell,0.5833999050153923
cell12228,plasma cell,0.08140212328263034
cell12229,plasma cell,0.16245729513421042
cell12230,plasma cell,0.7164165139850288
cell12231,plasma cell,0.7070993180584796
cell12232,plasma cell,0.13679354483690034
cell12233,plasma cell,0.18492143257926152
cell12234,plasma cell,0.17447453932821444
cell12235,plasma cell,0.7347705665246456
cell12236,plasma cell,0.7473705285937104
cell12237,plasma cell,0.23971561003766567
cell12238,plasma cell,0.23078845234414727
cell12239,plasma cell,0.2021372930920062
cell12240,plasma cell,0.18071302425801664
cell12241,plasma cell,0.18533102028121592
cell12242,plasma cell,0.6416082446406001
cell12243,plasma cell,0.7209231906676965
cell12244,plasma cell,0.70779095888813
cell12245,plasma cell,0.20402073081473662
cell12246,plasma cell,0.74919325529293
cell12247,plasma cell,0.6695721535321747
cell12248,plasma cell,0.6221487694897925
cell12249,plasma cell,0.7511913014512822
cell12250,plasma cell,0.7404056785593434
cell12251,plasma cell,0.7349246032262658
cell12252,plasma cell,0.18277520704268538
cell12253,plasma cell,0.6847490162306648
cell12254,plasma cell,0.20249648829487116
cell12255,plasma cell,0.7377720609534714
cell12256,plasma cell,0.5385462291359369
cell12257,plasma cell,0.5240328885491887
cell12258,plasma cell,0.7123668721785307
cell12259,plasma cell,0.4818869218355972
cell12260,plasma cell,0.7437609621486287
cell12261,plasma cell,0.7402203973540779
cell12262,plasma cell,0.7196618304962875
cell12263,plasma cell,0.6786267725652554
cell12264,plasma cell,0.7083022924848915
cell12265,plasma cell,0.7162290585517718
cell12266,plasma cell,0.6602378393770373
cell12267,plasma cell,0.7124283642894557
cell12268,plasma cell,0.5883502859494045
cell12269,plasma cell,0.21039447457746233
cell12270,plasma cell,0.1519082985828426
cell12271,plasma cell,0.09747166597745417
cell12272,plasma cell,0.11714090406194276
cell12273,plasma cell,0.6650570566250898
cell12274,plasma cell,0.7083363783872924
cell12275,plasma cell,0.6570711021312361
cell12276,plasma cell,0.6753000302822283
cell12277,plasma cell,0.7224830847546458
cell12278,plasma cell,0.7132490023164505
cell12279,plasma cell,0.24159438734564126
cell12280,plasma cell,0.6748934516411964
cell12281,plasma cell,0.6757316976192428
cell12282,plasma cell,0.5043619489710957
cell12283,plasma cell,0.04893028425119017
cell12284,plasma cell,0.7312577884160654
cell12285,plasma cell,0.6815525746003038
cell12286,plasma cell,0.20912328772796585
cell12287,plasma cell,0.5374774111079412
cell12288,plasma cell,0.04292374513847046
cell12289,plasma cell,0.7430268445398093
cell12290,plasma cell,0.6527626688001504
cell12291,plasma cell,0.6785183826235108
cell12292,plasma cell,0.6133827212968813
cell12293,plasma cell,0.46350749495040694
cell12294,plasma cell,0.1527585537630174
cell12295,plasma cell,0.7392467885514458
cell12296,plasma cell,0.7272169806679414
cell12297,plasma cell,0.7544072554318648
cell12298,plasma cell,0.20772198964275668
cell12299,plasma cell,0.5241101410540082
cell12300,plasma cell,0.5318646749349915
cell12301,plasma cell,0.6534072132202758
cell12302,plasma cell,0.21746931379050533
cell12303,plasma cell,0.21305912944921182
cell12304,plasma cell,0.5100360277206748
cell12305,plasma cell,0.7188166029380123
cell12306,plasma cell,0.13379535835224154
cell12307,plasma cell,0.47476273567874655
cell12308,plasma cell,0.41133922446381793
cell12309,plasma cell,0.121846927314767
cell12310,plasma cell,0.17916581840431836
cell12311,plasma cell,0.14661691230579854
cell12312,plasma cell,0.7348394100763821
cell12313,plasma cell,0.7069860588557815
cell12314,plasma cell,0.19920678185956187
cell12315,plasma cell,0.16197957290081227
cell12316,plasma cell,0.7202227370859754
cell12317,plasma cell,0.16152763659433297
cell12318,plasma cell,0.72331733970271
cell12319,plasma cell,0.6807039225379319
cell12320,plasma cell,0.4600119149180661
cell12321,plasma cell,0.12083573431312454
cell12322,plasma cell,0.49528420635404974
cell12323,plasma cell,0.7380458726144181
cell12324,plasma cell,0.20186862605379155
cell12325,plasma cell,0.7279206302757125
cell12326,plasma cell,0.1957336017018975
cell12327,plasma cell,0.6389635917689839
cell12328,plasma cell,0.43288324714954785
cell12329,plasma cell,0.7383080306204856
cell12330,plasma cell,0.7466468289326204
cell12331,plasma cell,0.6836899344625038
cell12332,plasma cell,0.7589864824210337
cell12333,plasma cell,0.14497244500310796
cell12334,plasma cell,0.682785664567827
cell12335,plasma cell,0.7037226391331161
cell12336,plasma cell,0.19332313819860872
cell12337,plasma cell,0.7273825033243695
cell12338,plasma cell,0.7535814963579922
cell12339,plasma cell,0.23719092762163124
cell12340,plasma cell,0.6100070809461344
cell12341,plasma cell,0.5222439739466018
cell12342,plasma cell,0.5266676019553606
cell12343,plasma cell,0.7571829982790091
cell12344,plasma cell,0.10765985747794872
cell12345,plasma cell,0.7193335883720908
cell12346,plasma cell,0.18999821131342948
cell12347,plasma cell,0.7036538616783228
cell12348,plasma cell,0.5191954738047414
cell12349,plasma cell,0.7126897186242643
cell12350,plasma cell,0.6983571337901814
cell12351,plasma cell,0.17022751771649366
cell12352,plasma cell,0.18935979590694213
cell12353,plasma cell,0.18032035241952124
cell12354,plasma cell,0.5262835691417544
cell12355,plasma cell,0.4768297169266642
cell12356,plasma cell,0.7599223568745253
cell12357,plasma cell,0.7433352477293462
cell12358,plasma cell,0.6949836020916674
cell12359,plasma cell,0.15740968775832037
cell12360,plasma cell,0.22539892005819276
cell12361,plasma cell,0.7268812590096941
cell12362,plasma cell,0.7356860914322044
cell12363,plasma cell,0.4844430163131864
cell12364,plasma cell,0.7029880660794361
cell12365,plasma cell,0.6543233165960723
cell12366,plasma cell,0.09183229501577898
cell12367,plasma cell,0.23859388182487082
cell12368,plasma cell,0.21498074805637826
cell12369,plasma cell,0.5132374637531455
cell12370,plasma cell,0.5099360311576003
cell12371,plasma cell,0.16272871139410822
cell12372,plasma cell,0.6551922721833334
cell12373,plasma cell,0.7358571035437264
cell12374,plasma cell,0.7610727474052346
cell12375,plasma cell,0.38181006996941386
cell12376,plasma cell,0.418153719256885
cell12377,plasma cell,0.19631209448780582
cell12378,plasma cell,0.6016900037036571
cell12379,plasma cell,0.6802989050615131
cell12380,plasma cell,0.7378954655391854
cell12381,plasma cell,0.7512284915031839
cell12382,plasma cell,0.6791446999882982
cell12383,plasma cell,0.6630807951741012
cell12384,plasma cell,0.6442569937358726
cell12385,plasma cell,0.23365695307471357
cell12386,plasma cell,0.641230751630363
cell12387,plasma cell,0.7502274074663626
cell12388,plasma cell,0.7187901115911419
cell12389,plasma cell,0.7316046081448901
cell12390,plasma cell,0.7125298641372164
cell12391,plasma cell,0.698720917934378
cell12392,plasma cell,0.7244137681226838
cell12393,plasma cell,0.23564898141981758
cell12394,plasma cell,0.16570950859853176
cell12395,plasma cell,0.5238538249098731
cell12396,plasma cell,0.6418893141975421
cell12397,plasma cell,0.6337588108341077
cell12398,plasma cell,0.49826067671061175
cell12399,plasma cell,0.38026429343730356
cell12400,plasma cell,0.707482831122267
cell12401,plasma cell,0.42916397547544355
cell12402,plasma cell,0.7301268184613431
cell12403,plasma cell,0.7009151253335695
cell12404,plasma cell,0.19535074627015409
cell12405,plasma cell,0.5216652789510722
cell12406,plasma cell,0.7461940398100507
cell12407,plasma cell,0.42923598375156613
cell12408,plasma cell,0.577026552833123
cell12409,plasma cell,0.7009883757086056
cell12410,plasma cell,0.6664209359824339
cell12411,plasma cell,0.7065007598902332
cell12412,plasma cell,0.7234992733733805
cell12413,plasma cell,0.19636766437811512
cell12414,plasma cell,0.750493865011505
cell12415,plasma cell,0.7266336721620585
cell12416,plasma cell,0.7611026762645698
cell12417,plasma cell,0.7118345306923392
cell12418,plasma cell,0.6713552083934278
cell12419,plasma cell,0.7207700359615067
cell12420,plasma cell,0.7372338203386781
cell12421,plasma cell,0.7423152324662561
cell12422,plasma cell,0.20405329117482635
cell12423,plasma cell,0.20112893898491593
cell12424,plasma cell,0.6340431352241531
cell12425,plasma cell,0.754078197784927
cell12426,plasma cell,0.7453264286180428
cell12427,plasma cell,0.6229486643720167
cell12428,plasma cell,0.7099697224654178
cell12429,plasma cell,0.6557169671672944
cell12430,plasma cell,0.19814691249724553
cell12431,plasma cell,0.6593709862879852
cell12432,plasma cell,0.7313252539239049
cell12433,plasma cell,0.5349767427558072
cell12434,plasma cell,0.7381805024896794
cell12435,plasma cell,0.730243682046403
cell12436,plasma cell,0.6952793277269822
cell12437,plasma cell,0.7410900330809587
cell12438,plasma cell,0.6421998701862045
cell12439,plasma cell,0.7206239579326373
cell12440,plasma cell,0.19744467687472503
cell12441,plasma cell,0.46122060027311274
cell12442,plasma cell,0.7019842356600583
cell12443,plasma cell,0.5705774319737628
cell12444,plasma cell,0.7419839431895502
cell12445,plasma cell,0.751042173144251
cell12446,plasma cell,0.20912159682598833
cell12447,plasma cell,0.7498515467164494
cell12448,plasma cell,0.7573899417237858
cell12449,plasma cell,0.03610911671674266
cell12450,plasma cell,0.5455185959869269
cell12451,plasma cell,0.1333072268716466
cell12452,plasma cell,0.2131767931126411
cell12453,plasma cell,0.0383753925332574
cell12454,plasma cell,0.5964122106135872
cell12455,plasma cell,0.7249620790986014
cell12456,plasma cell,0.7506696100496224
cell12457,plasma cell,0.39876791128396255
cell12458,plasma cell,0.6488850651225314
cell12459,plasma cell,0.7040217351709848
cell12460,plasma cell,0.19779318133142224
cell12461,plasma cell,0.16757256576239696
cell12462,plasma cell,0.04505273959681651
cell12463,plasma cell,0.47774570395530924
cell12464,plasma cell,0.10309808959973886
cell12465,plasma cell,0.17582729115991647
cell12466,plasma cell,0.6597703758523422
cell12467,plasma cell,0.7415401210069726
cell12468,plasma cell,0.7420421447955846
cell12469,plasma cell,0.7165870703609045
cell12470,plasma cell,0.7349552473117703
cell12471,plasma cell,0.7493112649950237
cell12472,plasma cell,0.6515984427814092
cell12473,plasma cell,0.6884399869539249
cell12474,plasma cell,0.6669981550718161
cell12475,plasma cell,0.1500114818246937
cell12476,plasma cell,0.12370711685802874
cell12477,plasma cell,0.7473898028340817
cell12478,plasma cell,0.6302943759390808
cell12479,plasma cell,0.7443681195356946
cell12480,plasma cell,0.19875655963001557
cell12481,plasma cell,0.676009304311079
cell12482,plasma cell,0.7233615592150836
cell12483,plasma cell,0.18957370675425447
