,cell_type,silhouette_score
cell615,T cell of anorectum,0.5840540562356495
cell616,T cell of anorectum,0.7115020093652497
cell617,T cell of anorectum,0.5604661776578754
cell618,T cell of anorectum,0.6320953939356456
cell619,T cell of anorectum,0.7172567946242763
cell620,T cell of anorectum,0.7524231336842504
cell621,T cell of anorectum,0.5885524784040803
cell622,T cell of anorectum,0.7121252082277738
cell623,T cell of anorectum,0.5843165856478906
cell624,T cell of anorectum,0.6920989571180752
cell625,T cell of anorectum,0.6521739125535689
cell626,T cell of anorectum,0.7634228040818111
cell627,T cell of anorectum,0.6069001525291999
cell628,T cell of anorectum,0.7588938492205711
cell629,T cell of anorectum,0.7655406763336499
cell3187,T cell of anorectum,0.6092204924006794
cell3188,T cell of anorectum,0.6916223600637681
cell3189,T cell of anorectum,0.7089983496749862
cell3190,T cell of anorectum,0.6032707948971889
cell3191,T cell of anorectum,0.6518845366858813
cell3192,T cell of anorectum,0.614862439618455
cell3193,T cell of anorectum,0.7431656796931653
