,AT1/AT2-like,AT2/Club-like,B cell,T cell,alveolar macrophage,basal cell,blood vessel endothelial cell,chondrocyte,ciliated cell,club cell,dendritic cell,endothelial cell,endothelial cell of artery,enucleate erythrocyte,fibroblast,goblet cell,lymphatics,macrophage,mast cell,monocyte,myofibroblast cell,natural killer cell,pericyte cell,smooth muscle cell,type I pneumocyte,type II pneumocyte,unknown,vascular associated smooth muscle cell,vein endothelial cell
FOXP2,0.0,0.0,0.0,0.0,0.0,0.8682264110871724,0.0,0.0,0.8994087789739881,0.0,0.0,0.0,0.0,0.0,0.0,0.8913589950118747,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8806880840233394,0.0,0.0,0.0
PGS1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MTUS1,0.7740694476025445,0.7975353534732547,0.0,0.0,0.0,0.7129072546958923,0.7223302807126727,0.0,0.6785714285714286,0.7484937395368304,0.0,0.0,0.0,0.0,0.0,0.7292879159961428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7048163009541375,0.7973626532724926,0.7274856099060604,0.0,0.0
TYMP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MALAT1,0.0330754816532135,0.11854409107140132,0.033119142055511475,0.027670683605330332,0.037113157766205926,0.032138047473771233,0.0,0.00041285157203674316,0.007479691079684666,0.03832016672406878,0.043706691690853665,0.00991754446710859,0.014647673283304487,0.0003570509808404105,0.023589012878281728,0.10381035932472774,0.010743735092026847,0.014959829194205148,0.004275411367416382,0.00849294662475586,0.004614838532039097,0.008595954094614302,0.035353743604251316,0.08917601406574249,0.07249850034713745,0.07786665856838226,0.01953684219292232,0.04668488459927695,0.019761149372373308
MAP3K19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FNBP1,0.0,0.0,0.7674170328038079,0.8141350362982068,0.7526443834815707,0.0,0.0,0.0,0.0,0.0,0.8318926457847867,0.0,0.794954953449113,0.0,0.0,0.0,0.0,0.7894706449338368,0.0,0.7517640122345516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75
FRS2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNIK,0.0,0.8753427011626107,0.0,0.8775271390165601,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9061338837657656,0.0,0.0,0.0,0.0,0.0,0.0,0.891465676682336,0.0,0.0,0.0
RELN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
