,Adipo,CM,EC,Fib,Lymph,Mast,Mural,Myel,Neuro,PKHD1L1+ EC
ENSG00000215483,5.5970254,-0.19560951,-0.18163067,-0.18193057,-0.19159645,-0.17705905,-0.18000804,-0.18369073,-0.17726934,-0.1860489
ENSG00000021645,-0.2818821,-0.29194605,-0.25305584,-0.26285464,-0.2467682,-0.26336962,-0.2636908,-0.26766038,5.98454,-0.26258755
ENSG00000248905,-0.2844934,-0.27581224,-0.25614595,-0.27502593,-0.2261505,-0.2403566,-0.28355205,3.5776725,-0.25759917,-0.2495044
ENSG00000171877,-0.36507025,-0.35357645,-0.24642,-0.27583432,-0.24497867,-0.2615301,-0.27548456,-0.28175217,3.162149,-0.26966578
ENSG00000166819,10.0,-0.07564764,-0.07647448,-0.074652076,-0.08100878,-0.072899826,-0.073369734,-0.07447225,-0.07647874,-0.07787156
ENSG00000140563,-0.20463437,-0.19875944,-0.19353883,-0.20110762,-0.15903978,5.064539,-0.20623349,-0.20166542,-0.1936414,-0.18776667
ENSG00000237515,-0.1150439,-0.10763945,-0.1325979,-0.12628704,-0.13529724,-0.12634955,-0.12673327,-0.1237114,2.6356783,-0.12441018
ENSG00000141293,-0.19865279,-0.17556906,-0.21668674,-0.21470043,4.603242,1.5543103,-0.22605622,-0.21233341,-0.21228296,-0.1916593
ENSG00000154229,-0.5105506,-0.5242099,-0.4596358,-0.45523742,-0.41046834,2.486314,-0.48072192,-0.4624053,1.787505,-0.47032243
ENSG00000154217,-0.51487684,-0.44479516,1.8101041,-0.61417586,1.4987926,-0.63259447,-0.6219092,-0.5944042,-0.6411854,0.898703
ENSG00000169710,8.128114,-0.089818805,-0.1117023,-0.10187382,-0.11906778,-0.10029814,-0.10190535,-0.099758014,-0.10894061,-0.10064702
ENSG00000171791,2.1259081,-0.43764746,-0.39849,-0.39689168,-0.390931,-0.39351377,-0.40166464,-0.39891803,2.4290538,-0.407003
ENSG00000071991,-0.37662986,-0.33639187,-0.5062777,2.136126,-0.51619685,-0.4577595,-0.4630039,-0.43446708,3.2216704,-0.43757513
ENSG00000185052,-0.22922574,-0.22950862,-0.28039223,-0.27301812,-0.27759504,6.873292,-0.27475458,-0.2711322,-0.2784051,-0.26868713
ENSG00000125968,-0.2652401,-0.21616754,3.0708818,-0.36669868,-0.4521725,-0.37133121,-0.3771401,-0.34883833,-0.4117225,-0.024963664
ENSG00000064655,2.081255,-0.19248042,-0.21982594,-0.21451902,-0.21073182,-0.22392546,-0.22041823,-0.21158905,-0.21661942,-0.20909128
ENSG00000167772,4.789092,-0.2564506,-0.2067545,-0.2191759,-0.20012254,-0.21998021,-0.21981703,-0.22538403,-0.20975128,-0.2186236
ENSG00000198597,-0.25145656,-0.28200066,-0.17050548,-0.19150381,-0.1665746,-0.18487445,-0.19121939,-0.19908959,4.108265,-0.18977726
ENSG00000213904,3.6789541,-0.36369252,-0.2936368,-0.321666,-0.28956416,-0.32140505,-0.32262328,-0.32330126,-0.30668408,-0.31579605
ENSG00000079435,4.4763637,-0.24399526,-0.18519968,-0.19997363,-0.18181625,-0.19842738,-0.19966695,-0.20370515,-0.19122586,-0.19851065
