,b_age,b_gc,b_memory,b_naive,cd3_gd,cd4_cm,cd4_naive,cd4_tem,cd4_temra,cd4_treg,cd4_trm,cd8_cm,cd8_mait,cd8_naive,cd8_tem,cd8_temra,cd8_trm,dc1,dc2,dc_migratory,ilc1,ilc3,macrophage,mast_cell,monocyte_classical,monocyte_nonclassical,nk_cd56br,nk_cd56dim,nk_ilc_precursor,pdc,plasma_cell,plasmablast,progenitor
ENSG00000168827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08212212,0.0
ENSG00000118855,0.34271947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.210782,0.40659115,0.0,0.0,0.0,0.57141536,0.0,0.0,0.36738783,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000113810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5395822,0.21448357
ENSG00000186432,0.0,0.3274103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23172805,0.26450276,0.24416147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3318824,0.0,0.16713488,0.20268375
ENSG00000114209,0.0,0.07034937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20521453,0.0,0.0,0.14147113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17721562,0.0
ENSG00000173905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1526305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000008952,0.37218812,0.34600383,0.51954156,0.68355083,0.0,0.30733445,0.50399065,0.28102347,0.0,0.25280207,0.0,0.3214764,0.51997304,0.32559216,0.0,0.0,0.0,0.32697484,0.2865437,0.22601956,0.0,0.0,0.49217042,0.68365943,0.3751623,0.41913056,0.0,0.0,0.0,0.55739844,0.57142687,0.61818665,0.3711794
ENSG00000173890,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037901424,0.0
ENSG00000173889,0.34271947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000136603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17869778,0.32692292,0.0,0.0,0.0,0.12082743,0.0,0.0,0.0,0.0,0.0,0.0,0.29180554,0.0,0.0,0.0
ENSG00000163584,0.8906597,1.3895499,0.7699973,0.84830743,0.0,0.4846764,0.49880224,0.4559704,0.0,0.4342246,0.0,0.5740921,0.65406865,0.46132717,0.0,0.0,0.0,0.35845757,0.4530878,0.2839615,0.0,0.43900877,0.3940313,0.48010957,0.0,0.577454,0.61353743,0.0,0.48609275,0.6519152,0.43496323,1.1892073,0.6141221
ENSG00000154310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.422787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000075420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2701764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22815043,0.18539643,0.0
ENSG00000144959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23910798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000177565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2619226,0.0,0.10159427,0.116729826
