,B mem,B mem exhausted,Basal 1,Basal 1 KHDRBS2+,Basal 2,Ciliated 1,Ciliated 2,Club,Cycling basal,Cycling hillock,Deuterosomal,Duct,Goblet 1,Goblet 2 BPIFA2+,Goblet 2 PLAU+,Goblet 2 inflammatory,Hillock,Ionocyte,LC,MAIT,Mac,Mast,Mono IL6+,Secretory,Secretory GALNT4+,Squamous,T CD8 mem 1,T CD8 mem 2,T naive,Transit epi 1,Transit epi 2,pDC
ENSG00000124942,0.0,0.0,0.2880558621498846,0.45066056712981195,0.3419182012158056,0.33429287902770505,0.3662314126568456,0.25806451612903225,0.33102494670498755,0.38035821530126757,0.32080015059440364,0.31339871883392334,0.29254307862251033,0.33117589835197697,0.333339718080336,0.39651603083456716,0.3338273705974702,0.33274726713857344,0.0,0.0,0.0,0.5242676831060841,0.2751033652213312,0.34288457324427946,0.421287598148469,0.28207303247144144,0.28356299284965764,0.0,0.0,0.47098002510686077,0.5351243692059671,0.0
ENSG00000204472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9354838709677419,0.0,0.9408218360716297,0.0,0.9513752364343212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000110711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000004455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000155085,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000131016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000170776,0.0,0.9171540333378699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8538442004111505,0.0,0.0,0.0,0.8415866532633381,0.8900416531870442,0.0,0.0,0.0,0.0,0.0,0.9105640592113617,0.0,0.0,0.0,0.8387096774193549,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000186471,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000127914,0.0,0.0,0.0,0.7325080998482243,0.0,0.7968740732439102,0.8066785277858857,0.5806451612903226,0.5929511804734507,0.0,0.7298190843674445,0.5903745543572211,0.6017547941976978,0.622528814500378,0.5848330586187301,0.6384097049313207,0.0,0.6742059934523797,0.0,0.0,0.0,0.0,0.0,0.0,0.6976380982706624,0.6813566530904462,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000106948,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000117448,0.0,0.0,0.0,0.0,0.6343542356644908,0.5940851107720406,0.0,0.6151314531603167,0.6097250792288011,0.609567242283975,0.5997936168024617,0.585884153842926,0.6184448272951187,0.6405410785828868,0.6190188354061495,0.6831215966132379,0.6307035146221038,0.0,0.5806451612903226,0.0,0.0,0.0,0.0,0.67844985377404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000085662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000187134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8874674670157894,0.0,0.8387096774193549,0.0,0.8728649827741808,0.8474439613280758,0.0,0.863055738710588,0.8594010337706535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
