index,free_annotation,silhouette_score
E3_B002385.gencode.vH29,Ciliated,-0.41887006
E3_B003137.gencode.vH29,Ciliated,-0.48942313
E4_B002383.gencode.vH29,Ciliated,-0.34942442
E4_B002385.gencode.vH29,Ciliated,-0.25461352
E4_B002386.gencode.vH29,Ciliated,-0.44427907
E6_B003137.gencode.vH29,Ciliated,-0.4340476
E9_B002382.gencode.vH29,Ciliated,-0.4295411
E9_B003136.gencode.vH29,Ciliated,-0.46052313
F1_B003135.gencode.vH29,Ciliated,-0.40523973
F1_B003137.gencode.vH29,Ciliated,-0.40028933
F11_B003140.gencode.vH29,Ciliated,-0.28294876
F12_B002386.gencode.vH29,Ciliated,-0.37599266
F12_B003141.gencode.vH29,Ciliated,-0.37636173
F13_B003135.gencode.vH29,Ciliated,-0.4681214
F3_B002385.gencode.vH29,Ciliated,-0.44903055
F3_B003142.gencode.vH29,Ciliated,-0.33293536
F4_B002382.gencode.vH29,Ciliated,-0.27702385
F5_B003135.gencode.vH29,Ciliated,-0.2827471
F5_B003137.gencode.vH29,Ciliated,-0.3778324
F6_B003135.gencode.vH29,Ciliated,-0.2692063
F6_B003141.gencode.vH29,Ciliated,-0.33260685
F6_B003142.gencode.vH29,Ciliated,-0.33846256
F8_B003136.gencode.vH29,Ciliated,-0.2621405
G1_B002382.gencode.vH29,Ciliated,-0.43426538
G1_B003138.gencode.vH29,Ciliated,-0.26816088
G1_B003140.gencode.vH29,Ciliated,-0.36060616
G10_B003141.gencode.vH29,Ciliated,-0.28280193
G2_B003142.gencode.vH29,Ciliated,-0.33709285
G3_B002386.gencode.vH29,Ciliated,-0.47924736
G3_B003136.gencode.vH29,Ciliated,-0.25565344
G3_B003137.gencode.vH29,Ciliated,-0.34793794
G4_B002385.gencode.vH29,Ciliated,-0.31429756
G4_B003136.gencode.vH29,Ciliated,-0.41249216
G4_B003137.gencode.vH29,Ciliated,-0.26362997
G5_B002382.gencode.vH29,Ciliated,-0.38492748
G5_B003140.gencode.vH29,Ciliated,-0.28039497
G5_B003141.gencode.vH29,Ciliated,-0.46801051
G6_B003135.gencode.vH29,Ciliated,-0.3886265
G7_B002382.gencode.vH29,Ciliated,-0.5061705
G7_B002386.gencode.vH29,Ciliated,-0.44126725
G7_B003136.gencode.vH29,Ciliated,-0.41092014
G8_B002382.gencode.vH29,Ciliated,-0.4992365
G8_B002385.gencode.vH29,Ciliated,-0.34446153
G9_B003142.gencode.vH29,Ciliated,-0.4266509
H1_B003136.gencode.vH29,Ciliated,-0.28424057
H10_B002386.gencode.vH29,Ciliated,-0.29871747
H10_B003136.gencode.vH29,Ciliated,-0.47543117
H11_B002385.gencode.vH29,Ciliated,-0.43036336
H11_B002386.gencode.vH29,Ciliated,-0.3213772
H11_B003136.gencode.vH29,Ciliated,-0.45509547
H11_B003137.gencode.vH29,Ciliated,-0.25487122
H12_B003142.gencode.vH29,Ciliated,-0.43034777
H2_B003140.gencode.vH29,Ciliated,-0.4069994
H3_B003142.gencode.vH29,Ciliated,-0.32624865
H4_B002385.gencode.vH29,Ciliated,-0.43730363
H5_B003137.gencode.vH29,Ciliated,-0.31289902
H6_B002382.gencode.vH29,Ciliated,-0.31468758
H6_B002386.gencode.vH29,Ciliated,-0.43533105
H6_B003137.gencode.vH29,Ciliated,-0.33465
H9_B003138.gencode.vH29,Ciliated,-0.48415524
H9_B003140.gencode.vH29,Ciliated,-0.28880385
H9_B003141.gencode.vH29,Ciliated,-0.38320863
H9_B003142.gencode.vH29,Ciliated,-0.47977018
I1_B003137.gencode.vH29,Ciliated,-0.37106892
I1_B003138.gencode.vH29,Ciliated,-0.4320729
I1_B003140.gencode.vH29,Ciliated,-0.49540073
I10_B003136.gencode.vH29,Ciliated,-0.4193035
I10_B003140.gencode.vH29,Ciliated,-0.34868586
I11_B003140.gencode.vH29,Ciliated,-0.28866303
I13_B003137.gencode.vH29,Ciliated,-0.41218647
I2_B003140.gencode.vH29,Ciliated,-0.43365094
I2_B003142.gencode.vH29,Ciliated,-0.2696845
I4_B003137.gencode.vH29,Ciliated,-0.26023304
I8_B003142.gencode.vH29,Ciliated,-0.39831126
I9_B002385.gencode.vH29,Ciliated,-0.26968634
J1_B002382.gencode.vH29,Ciliated,-0.38293666
J11_B003137.gencode.vH29,Ciliated,-0.43694884
J12_B003136.gencode.vH29,Ciliated,-0.3433469
J13_B003136.gencode.vH29,Ciliated,-0.49936202
J3_B002386.gencode.vH29,Ciliated,-0.33138308
J3_B003135.gencode.vH29,Ciliated,-0.26032498
J3_B003140.gencode.vH29,Ciliated,-0.3401588
J4_B003137.gencode.vH29,Ciliated,-0.4958577
J5_B003136.gencode.vH29,Ciliated,-0.3721546
