,b_age,b_gc,b_memory,b_naive,cd3_gd,cd4_cm,cd4_naive,cd4_tem,cd4_temra,cd4_treg,cd4_trm,cd8_cm,cd8_mait,cd8_naive,cd8_tem,cd8_temra,cd8_trm,dc1,dc2,ilc1,ilc3,macrophage,mast_cell,monocyte_classical,monocyte_nonclassical,nk_cd56br,nk_cd56dim,nk_ilc_precursor,pdc,plasma_cell,plasmablast,progenitor
SDHB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18531352,0.23619983,0.0,0.0,0.0,0.0,0.0,0.3101316,0.0,0.0,0.0,0.0,0.0,0.3425483,0.0
RCC2,0.0,0.3192102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33147472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12699372,0.0
MRTO4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21035369,0.0
AKR7A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35273883,0.19949165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27420312,0.0,0.11335138,0.0
CAPZB,0.5685243,0.6378564,0.535133,0.0,0.728897,0.64254993,0.5590621,0.7293649,0.8145059,0.8403015,0.5778667,0.65524405,0.647211,0.6751203,0.74474645,0.7619934,0.6902127,0.9216659,0.7996736,0.55507076,0.0,0.8774361,0.0,0.8558208,0.9086359,0.72333056,0.81240344,0.61843693,0.59734297,0.07265334,0.4387892,0.26976356
MICOS10,0.0,0.53617585,0.0,0.0,0.0,0.43579724,0.43677446,0.0,0.0,0.50960946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52751297,0.4936927,0.0,0.0,0.58408916,0.0,0.57589096,0.6173938,0.0,0.0,0.0,0.37492293,0.14750049,0.764605,0.28750172
DDOST,0.43528718,0.4202272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29595554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47463337,0.4603098,0.0,0.0,0.0,0.0,0.0,0.2900271,0.0,0.0,0.0,0.60270685,0.60191905,0.9552825,0.0
HP1BP3,0.43780288,0.76275164,0.33610144,0.0,0.5946262,0.4452878,0.47640747,0.33292526,0.0,0.5097372,0.0,0.49770454,0.3727284,0.0,0.60271066,0.0,0.0,0.26521587,0.4180135,0.87337565,0.3882647,0.0,0.0,0.0,0.41352454,0.0,0.3814708,0.5476142,0.43626544,0.10060751,0.32869256,0.33592317
EIF4G3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22084339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06882142,0.0
ECE1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11380503,0.0
