,PP,alpha_MHC II,alpha_immature,alpha_mature,alpha_stress II,beta_MHC/autoantigen,beta_immature,beta_mature,beta_mtDNA deficient,beta_stress I,beta_stress II,delta
PPP1R2,0.0,0.0,0.39646271683953027,0.39136743545532227,0.44833156195553864,0.0,0.5279910401864485,0.4275858835740523,0.0,0.36363636363636365,0.5751858949661255,0.40048202059485694
NCBP2,0.0,0.0,0.7717928127809004,0.0,0.7797015851194208,0.0,0.7348017150705511,0.7272727272727273,0.0,0.0,0.0,0.0
NCBP2AS2,0.0,0.0,0.0,0.6363636363636364,0.6711613481695001,0.0,0.7065024809403853,0.679222047328949,0.0,0.0,0.6770689162341031,0.0
FYTTD1,0.0,0.0,0.0,0.0,0.0,0.0,0.9170714562589471,0.9090909090909091,0.0,0.0,0.0,0.0
RPL35A,0.047241183844479645,0.0,0.05075468800284646,0.06029196760871194,0.046385331587357956,0.021926576440984554,0.11125180938027122,0.10867629809813066,0.20041754029013895,0.24132875420830466,0.1683470823548057,0.06412948803468184
ATP5ME,0.1938056999986822,0.0,0.13591955466703934,0.1672132990577004,0.11925004287199541,0.09090909090909091,0.11958885192871094,0.16187979416413742,0.3313984220678156,0.1718592264435508,0.12502068281173706,0.16502331603657117
CTBP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SLBP,0.0,0.0,0.0,0.0,0.8386348269202493,0.0,0.8181818181818182,0.0,0.0,0.0,0.8212821646170183,0.0
NICOL1,0.23041979833082718,0.03248914805325595,0.06631616570732811,0.09584499489177357,0.002947866916656494,0.13517122918909247,0.03963210907849399,0.12591711499474265,0.24820942228490656,0.09980063004927202,0.0,0.17476158792322333
RNF4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
TNIP2,0.0,0.0,0.8689593401822177,0.0,0.8480744524435564,0.0,0.8181818181818182,0.0,0.0,0.0,0.0,0.0
MFSD10,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRPAP1,0.21559073166413742,0.5681915174831044,0.2251373908736489,0.27628337795084174,0.2534488114443692,0.4547095461325212,0.12002915143966675,0.15760928934270685,0.0,0.1928811235861345,0.09090909090909091,0.20871736244721847
MRFAP1,0.034555624831806526,0.0,0.11403127150102095,0.09556501561945135,0.15400613437999378,0.006536034020510587,0.16936246915297073,0.06279025294563988,0.12314256754788486,0.04881638288497925,0.20564186031168158,0.06841336597095836
MRFAP1L1,0.0,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.9117346785285256,0.0
GRPEL1,0.0,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.9213944781910289,0.0
WDR1,0.0,0.0,0.7148426987908103,0.600285372950814,0.7364603606137362,0.0,0.617064665664326,0.5454545454545454,0.0,0.0,0.0,0.6412445848638361
FAM200B,0.0,0.0,0.3248104290528731,0.358158371665261,0.27776486765254627,0.0,0.4204650141976096,0.49912705746563996,0.5680949796329845,0.2727272727272727,0.3298490047454834,0.38402275063774804
QDPR,0.487023727460341,0.0,0.42087582566521387,0.5815532424233176,0.4534761309623718,0.0,0.3653683824972673,0.36363636363636365,0.0,0.40357559377496893,0.0,0.5352776321497831
MED28,0.0,0.0,0.5165657888759266,0.49404801563783124,0.5248737064274874,0.0,0.5044664686376398,0.45454545454545453,0.0,0.0,0.4773872603069652,0.45777739719911054
SMIM20,0.0,0.0,0.0,0.0,0.0,0.0,0.7504966638304971,0.7278760671615601,0.0,0.0,0.7622029293667186,0.7272727272727273
RFC1,0.0,0.0,0.0,0.0,0.0,0.0,0.8384594971483404,0.8181818181818182,0.0,0.0,0.8578356450254266,0.0
RPL9,0.045472123406150124,0.0,0.05475395917892456,0.07271567257967862,0.04107442227276889,0.017519381913271816,0.0854970866983587,0.09071368520910089,0.1658094904639504,0.22724485397338867,0.12144691293889825,0.05931771885265003
UGDH,0.0,0.0,0.6733343655412848,0.5454545454545454,0.6791636076840487,0.0,0.6705032424493269,0.5474734739823774,0.0,0.0,0.6515496102246371,0.0
