,CD3+ T-cells,CDC1,Cholangiocytes,Cycling Myeloid,Cycling Plasma,Doublet,Erythrocytes,HSC,Hepatocytes,KC Like,LSEC,Macrophage (MHCII high),Mature B-cells,Mono-Mac,Myeloid Erythrocytes (phagocytosis),NK-like cells,Neutrophil,Plasma cells,Platelets,gd T-cells
PPCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44606361921651716,0.0,0.0,0.0,0.0,0.0
YBX1,1.7128348047572763,2.332375001432663,1.406192898122843,2.0681769017854976,2.317270069892758,1.7941774211151813,1.8258931838566312,1.7529798457577284,0.0,2.5934213532576864,1.4817699604151895,2.433988136792785,1.6419335297775413,1.9851582656272861,2.5308255100552084,1.8128572080302972,0.0,1.125786511793959,1.7664800628647512,1.6882574551991814
SLC2A1,0.0,0.0,0.0,0.0,0.0,0.0,1.4238348119602633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EBNA1BP2,0.0,0.0,0.0,0.0,0.40206732064244655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP6V0B,0.0,1.1308485139711681,0.8330528630540806,0.614301592655552,1.2999416999060598,0.0,0.0,0.0,0.0,1.4190826314907663,0.0,1.5326306065814879,0.0,1.4410937465795863,1.2202222701223229,0.0,0.0,0.7820299672909995,0.0,0.0
RPS8,3.9056301299142624,4.4947365858726185,3.422101980736208,3.6435320051724456,3.8738934298965146,3.4953017536244326,1.4647410250789583,3.240614052134799,1.5263848264938038,3.2647132476251217,3.119286032213852,3.7617507462557063,4.461054199046339,3.7788604168947426,3.046664234213787,3.6457045402217965,0.0,3.2545500299377297,2.903159094725086,3.3997643630051613
PLK3,0.0,0.38175234591402335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UROD,0.0,0.0,0.0,0.0,0.0,0.0,1.5678195648946711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5804310051737629,0.0,0.0,0.0,0.0,0.0
PRDX1,0.0,1.2607819570651082,1.5829461771548525,0.0,1.7751877352084333,1.019528591885784,0.752673497825248,1.337504157079086,0.0,2.333348945365258,1.5631625697788594,1.4614251509259346,0.0,0.915191810195386,2.2806285522381087,0.0,0.0,1.0227810432680087,0.816230454798505,0.0
AKR1A1,0.0,0.5934605503381986,0.404692734253812,0.0,0.6399226773034371,0.0,0.0,0.0,0.0,0.7970424891701049,0.0,0.7945354588154461,0.0,0.0,1.048800227622614,0.0,0.0,0.5089621235845523,0.0,0.0
NASP,0.0,0.5205297675173319,0.0,0.6299434157050966,0.8865309269530516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24880243532331991,0.0,0.0,0.0,0.0,0.0
UQCRH,0.9379040313820899,1.7932079969652097,1.3819993892644276,1.3501611998290963,2.4587808680409315,1.1184633448128425,0.0,0.9806078197443547,0.0,1.0692229378167313,0.0,1.3162146957666696,1.1909383940231886,1.4951283001964277,1.2430596455565763,1.143549648548181,0.0,1.1875025653117095,1.628761004157509,0.0
MKNK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4403680929357883,0.0,0.0,0.0,0.0,0.0
EFCAB14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4508012664242693,0.0,0.0,0.0,0.0,0.0
PDZK1IP1,0.0,0.0,0.8350829209743241,0.0,0.0,0.0,0.7717796236614569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAL1,0.0,0.0,0.0,0.0,0.0,0.0,0.5229360918116727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMPK1,0.0,0.6175785690602413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPS15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4076553272593839,0.0,0.0,0.0,0.0,0.0
NRDC,0.0,0.5959713290409341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3693903402516782,0.0,0.0,0.0,0.0,0.0
TXNDC12,0.0,0.3812083911199519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24855908755055822,0.0,0.0,0.0,0.0,0.0
