,cardiac muscle cell,endothelial cell,fibroblast,leukocyte,mesothelial cell of epicardium,neuron,smooth muscle cell
ENSG00000169504,1.0201852098558808,1.1476157670108318,0.7123223833681027,0.0,0.8906982185903654,2.200381915839432,1.137494896533376
ENSG00000117616,0.7415341367072265,1.0656022589656615,1.2761068532774424,1.0780223195620293,1.1163164740730598,0.9663457910948517,0.9301956286802622
ENSG00000204178,0.3864172851391666,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000117643,0.32541776661904087,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000158022,0.8365039551599243,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000130695,0.507514817322321,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000117713,0.5343043856080707,0.7468235127448266,0.5578888647560833,1.1394716586049378,0.8578562352942946,0.8554200890840664,0.8243158036936484
ENSG00000142784,0.27606828385023,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000158195,0.4935917413278835,1.2366329641428973,1.035809871769723,1.4266721776933926,1.0387421526387315,0.8790886053400682,0.8243158036936484
ENSG00000126705,0.29124373654907665,0.0,0.4929654181997647,0.0,0.0,0.0,0.0
ENSG00000117758,0.15743546780420808,0.0,0.0,0.5631211571145336,0.0,0.0,0.6520899195993626
ENSG00000158161,0.6455077685691273,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000130770,0.3953660989921438,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204138,0.9280103593088552,1.0902767930095076,0.6078311803260199,1.0022634169932485,0.7735344222054782,1.1204399099462756,0.7614640633877787
ENSG00000120656,0.27051542783974375,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000159023,1.0806846257069207,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116350,0.8356026753113865,1.124174941390742,0.8935642099745287,0.9292304645232785,1.0134359509476885,0.0,1.0453835728111511
ENSG00000134644,0.7999146923727378,0.9800989261580121,1.0006208031225707,1.1610837536952432,1.0596230493427856,0.7871789115504806,0.9981234333853333
ENSG00000121766,0.242769508351521,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000121769,1.0459981007614172,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142910,0.0,0.5567529173857455,0.0,0.0,0.733314156331789,0.0,0.7855147276244326
ENSG00000184007,0.3032666818810731,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000121774,0.3709814458168217,0.0,0.470947516536184,0.0,0.7517892969697678,0.0,0.0
ENSG00000025800,0.42916725231408226,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000176261,0.31818686765319776,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162521,0.33215001658960336,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116497,0.2722538849744456,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000004455,0.18953147089686923,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000225313,0.08057577117317487,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000134686,0.8148303998353009,0.0,0.42301419821681685,0.0,0.5616792610789718,0.0,0.7994401472561886
ENSG00000187513,0.0,0.0,0.0,0.0,0.4960021316525661,0.0,0.0
ENSG00000163867,0.28318164881687347,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116560,0.8505860276770196,0.9473424589549562,1.0264653766778458,0.7303685563595755,1.0230957985083835,0.9490432025202835,0.9888480986901607
ENSG00000146463,0.898475479423491,0.8035255118610807,0.904438119832025,0.8212370704206179,1.0531165996605492,0.7284434887081639,0.7855147276244326
ENSG00000142687,0.9021329486311433,0.8194597747878132,0.7531884659248562,0.7250892395947426,0.7367212056633367,0.9575290096464097,0.5294301768454558
ENSG00000134698,0.5236143396710959,0.0,0.6606814616236869,1.0707461836363663,0.0,0.0,0.0
