,C_BEST4,C_EEC,C_ISC,C_TA,C_earlyACC,C_goblet,C_lateACC,C_secretory_prog,C_tuft,SI_AE2,SI_BEST4,SI_EEC,SI_FAE,SI_ISC,SI_TA,SI_TA2,SI_earlyAE,SI_goblet,SI_intermAE,SI_matureAE,SI_paneth,SI_secretory_prog,SI_tuft
ENSG00000286205,0.005051835,0.07162944,-0.0055699204,0.009996464,-0.038694855,0.015795996,-0.09201132,0.03327088,0.054835834,-0.050116997,0.013374412,0.07375415,0.057530366,0.030865235,0.044475246,0.059922326,-0.002381432,0.059379056,-0.045872197,-0.060641557,0.055294994,0.019893225,0.06170532
ENSG00000283766,-0.010833774,0.016404377,-0.031833746,0.045633607,0.047434647,0.024472693,-0.021356214,0.082599536,0.14638558,-0.034956522,0.059405264,0.03210096,0.023978598,0.02608638,-0.03214074,0.016402217,0.026635831,0.10553144,-0.06370359,-0.029989451,-0.06314191,-0.02788584,0.12049605
ENSG00000232828,0.03167537,0.14331782,0.02169865,0.014136289,-0.037388362,0.052291606,-0.11503482,0.053944837,0.10479096,-0.046600014,0.047653437,0.14787227,0.11657519,0.07816693,0.05973053,0.11048415,0.028241398,0.11936489,-0.035098687,-0.061860334,0.13549891,0.05303425,0.126874
ENSG00000286118,-0.007691362,0.03118983,-0.0012104161,0.0026654121,-0.038975116,-0.005592744,-0.06651656,0.019817015,0.006321293,-0.03948617,-0.005423213,0.02971239,0.034961633,0.012703245,0.03757925,0.030500697,-0.00903506,0.018560251,-0.032627195,-0.045925014,0.036480166,0.016810372,0.014271174
ENSG00000255148,-0.00876939,0.03168539,-0.01711327,0.037289336,0.010286996,0.0061254757,-0.045679234,0.069890514,0.0879063,-0.041770257,0.021671329,0.043097615,0.03424952,0.020724738,0.0031108556,0.02538048,-0.016304474,0.06384845,-0.06437548,-0.04809124,-0.021336427,-0.014946178,0.072537765
ENSG00000287374,0.0014054031,0.05299548,0.019397749,-0.037880108,-0.042718068,-0.004018614,-0.054191485,-0.021907875,-0.011122996,-0.01781806,-0.016406322,0.045933235,0.040587705,0.011277461,0.00564758,0.03321581,-0.010752286,0.009268619,-0.0041910503,-0.024895726,0.07192147,0.021912003,0.008777348
ENSG00000280279,-0.0027138658,0.053487826,-0.018024476,0.017443553,-0.02640835,0.003982782,-0.082644,0.049336385,0.069928594,-0.052385893,0.007487512,0.06024967,0.055849608,0.03381932,0.032062296,0.052712258,-0.03000828,0.05862038,-0.06013252,-0.06322055,0.019563416,-0.0038592957,0.061324377
ENSG00000276054,0.023712471,0.11070095,0.025454031,0.0023030639,-0.035662018,0.034821913,-0.08777848,0.035015594,0.06666799,-0.031595573,0.029329887,0.11117494,0.090584844,0.06284249,0.047020964,0.08187982,0.02274622,0.08600314,-0.021655222,-0.044201974,0.10828464,0.0491863,0.085386634
ENSG00000277911,-0.0072084754,0.056049593,-0.02662057,0.008547869,-0.0332886,0.0010716544,-0.09088295,0.041703418,0.07179219,-0.059502825,0.0035252124,0.06171979,0.053296268,0.032189447,0.025701072,0.05400155,-0.03528964,0.057756722,-0.0667702,-0.070919484,0.01971803,-0.0054009273,0.063111514
ENSG00000275119,-0.021973021,-0.031055842,-0.047889534,0.03445926,0.04822348,0.014133725,0.014654659,0.06126253,0.10072836,-0.019761926,0.042710833,-0.01275483,-0.020049887,-0.0052699894,-0.052928615,-0.008099086,0.01851576,0.057852685,-0.04386922,-0.0052868114,-0.10628498,-0.058081403,0.075310394
