,Adipocyte,Endothelial cell (lymphatic),Endothelial cell (vascular),Fibroblast,Immune (B cell),Immune (DC/macrophage),Immune (NK cell),Immune (T cell),Immune (mast cell),Myocyte (cardiac),"Myocyte (cardiac, cytoplasmic)",Pericyte/SMC,Schwann cell
ENSG00000173744,0.0,0.0,0.0,0.0,0.0,2.0050936,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000135917,1.6295782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000153820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.574229,0.0,0.0,0.0
ENSG00000153823,0.0,0.0,0.0,2.6564083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000168918,0.0,0.0,0.0,0.0,0.9460891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000157985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9157976
ENSG00000163359,0.0,0.0,0.0,2.33321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000124831,0.0,1.9545308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8035223,0.0,0.0,0.0
ENSG00000134121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.635429
ENSG00000168137,1.6891749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1497798,0.0,0.0,0.0
ENSG00000187288,1.8333589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000197548,0.0,0.0,0.0,0.0,0.0,2.5753508,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000132170,3.7143528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000132155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7968187,0.0,0.0,0.0
ENSG00000144711,0.0,0.0,0.0,0.0,2.0188892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000154822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8546703,0.0,0.0,0.0
ENSG00000131374,1.4938545,0.0,0.0,0.0,0.0,2.3198662,0.0,0.0,0.0,1.7214125,0.0,0.0,0.0
ENSG00000182247,2.721329,0.0,0.0,0.0,0.0,2.0816321,0.0,0.0,0.0,2.1456003,0.0,0.0,0.0
ENSG00000151090,1.8728182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6302382,0.0,0.0,0.0
ENSG00000144642,3.264731,2.7499142,3.0163913,3.6257672,0.0,0.0,0.0,0.0,0.0,1.832212,0.0,3.6527915,2.7575455
ENSG00000163513,0.0,2.8701086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000163539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6062456,0.0,0.0,0.0
ENSG00000093167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3248446,0.0,0.0,0.0
ENSG00000144674,1.4285367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8557751,0.0,0.0,0.0
ENSG00000144668,0.0,2.3900535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71761453,0.0,0.0,0.0
ENSG00000183873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2298515,0.0,0.0,0.0
ENSG00000114784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8640168,0.0,0.0
ENSG00000182606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1113049,0.0,0.0,0.0
