,B cells,Basophils,Cholangiocytes,Circulating NK/NKT,Endothelial cells,Fibroblasts,Hepatocytes,Macrophages,Mig.cDCs,Mono+mono derived cells,Neutrophils,Plasma cells,Resident NK,T cells,cDC1s,cDC2s,pDCs
SFPQ,0.0,0.0,0.0,0.0,0.7843659855425358,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7654151096940041,0.778300728648901,0.8100744783878326
ZMYM4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIAA0319L,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSMB2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AGO3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THRAP3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSF3R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
INPP5B,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDUFS5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62754887342453,0.625,0.6656554751098156,0.0,0.6390476077795029,0.0,0.0,0.6500957980751991,0.6392869651317596,0.6466294825077057
MACF1,0.0,0.0,0.8125,0.0,0.8538730219006538,0.8431955091655254,0.8179503865540028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PABPC4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,0.0,0.9570470117032528,0.0,0.0,0.0,0.0,0.0
MFSD2A,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAP1,0.0,0.0,0.0,0.5771514996886253,0.0,0.0,0.0,0.5754044726490974,0.5625,0.610345434397459,0.0,0.0,0.565987840294838,0.0,0.605930645018816,0.6277606226503849,0.5644028671085835
PPT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8279268331825733,0.0,0.8125,0.0,0.0,0.0,0.0,0.8815172538161278,0.812541488558054,0.0
SMAP2,0.6230554729700089,0.0,0.0,0.0,0.0,0.0,0.5,0.5677254572510719,0.5636357441544533,0.5838338956236839,0.700982891023159,0.5809895992279053,0.0,0.0,0.5087183564901352,0.5765333883464336,0.0
