,Acinar-mix,Activated stellate cells,Alpha cells,Beta cells,Delta cells,Ductal cells,Endothelial cells,Gamma cells,Idling acinar cells,MUC5B+ ductal cells,Macrophages,Quiescent stellate cells,Secretory acinar cells,Stressed beta cells
ATP6AP1,0.0,0.0,0.59648603,0.4048826,0.45097962,0.0,0.0,0.45895818,0.0,0.0,0.0,0.0,0.0,0.3950438
ATP6AP2,0.0,0.0,0.8635454,0.5771013,0.68712705,0.0,0.0,0.689283,0.0,0.0,0.0,0.0,0.0,0.72981226
ATP6V0B,0.0,0.0,1.6874013,1.2130189,1.4648815,0.0,0.0,0.2215111,0.0,0.0,0.0,0.0,0.0,1.3868196
ATP6V0D1,0.0,0.0,0.86523855,0.34487307,0.705689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59755075
ATP6V0E1,0.0,0.0,1.7742965,1.4641576,1.5671728,0.0,0.0,1.0583918,0.0,0.0,0.0,0.0,0.0,1.0509238
ATP6V0E2,0.0,0.0,0.5142219,0.691178,0.35843658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51497984
ATP6V1A,0.0,0.0,0.0,0.18256539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP6V1B2,0.0,0.0,0.4445681,0.19744483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24911803
ATP6V1D,0.0,0.0,0.6809735,0.60592127,0.8054259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3214026
ATP6V1E1,0.0,0.0,0.85590374,0.6822934,0.77238536,0.0,0.0,0.65799713,0.0,0.0,0.0,0.0,0.0,0.59320647
ATP6V1F,0.0,0.0,1.298245,1.0662422,1.105612,0.0,0.0,0.8379561,0.0,0.0,0.0,0.0,0.0,1.0335183
ATP6V1G1,0.0,0.0,1.8517342,1.757388,1.818106,0.0,0.0,1.1877494,0.0,0.0,0.0,0.0,0.0,1.7788305
ATP6V1H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25225127
ATP9A,0.0,0.0,0.0,0.0,0.3217888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATRAID,0.0,0.0,1.0349203,0.73919857,0.9122821,0.0,0.0,0.5102072,0.0,0.0,0.0,0.0,0.0,0.6831493
ATRX,0.0,0.0,0.43625057,0.37114468,0.4960236,0.0,0.0,0.6707359,0.0,0.0,0.0,0.0,0.0,0.0
ATXN10,0.0,0.0,0.49480864,0.0,0.54051876,0.0,0.0,0.3336361,0.0,0.0,0.0,0.0,0.0,0.0
AUP1,0.0,0.0,0.5412081,0.33938318,0.42574427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33693
AURKAIP1,0.0,0.0,1.3112305,0.9077736,1.1807795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6264348
AZI2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3259682
