,Diff. Keratinocytes,EpSC and undiff. progenitors,Erythrocytes,Lymphatic EC,Macrophages+DC,Melanocytes,Mesenchymal fibroblasts,Pericytes,Pro-inflammatory fibroblasts,Secretory-papillary fibroblasts,Secretory-reticular fibroblasts,T cells,Vascular EC
CXCR4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9214569,0.0
RND3,1.4914483,2.357961,0.0,0.0,0.0,1.480732,0.0,0.0,1.4861335,1.3908869,0.0,0.0,0.0
TNFAIP6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7946821,1.8578268,1.4834929,0.0,0.0
NR4A2,0.0,0.0,0.0,0.0,1.3151116,0.9731857,0.0,1.6276064,1.3100502,1.8996801,0.0,1.5958183,1.3862568
CYTIP,0.0,0.0,0.0,0.0,0.91743916,0.0,0.0,0.0,0.0,0.0,0.0,1.331182,0.0
CYBRD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4436775,2.0509222,0.0,0.0
ITGA6,0.0,0.80234647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GPR155,0.0,0.0,0.0,0.0,0.0,1.0194944,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP5MC3,1.0482091,1.0003006,0.0,0.0,0.0,1.2440109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HNRNPA3,1.0130829,1.1810663,0.0,1.1357131,0.0,1.0603927,0.96572495,1.3200169,0.0,0.0,0.0,0.0,1.3927034
NFE2L2,0.9014036,0.98291737,0.0,0.0,1.2131504,0.43005723,0.0,0.0,0.0,0.0,0.0,0.0,1.109803
ZC3H15,0.43576774,0.5106923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TFPI,0.0,0.0,0.0,2.4555073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COL3A1,0.0,0.0,0.0,0.0,0.0,0.0,3.559079,0.0,1.5451502,2.5305724,2.8638577,0.0,0.0
COL5A2,0.0,0.0,0.0,0.0,0.0,0.0,1.6658298,0.0,0.0,0.0,0.0,0.0,0.0
CAVIN2,0.0,0.0,0.0,1.4360623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
